YYYY-MM,nCommits,nAuthors,timestamp
2013-08,17,1,1375315200
2013-09,9,1,1377993600
2013-10,15,2,1380585600
2013-11,15,4,1383264000
2013-12,13,5,1385856000
2014-01,15,2,1388534400
2014-03,3,1,1393632000
2014-04,5,2,1396310400
2014-07,10,4,1404172800
2014-08,5,3,1406851200
2014-09,2,2,1409529600
2014-10,23,4,1412121600
2014-11,37,7,1414800000
2014-12,13,5,1417392000
2015-01,13,4,1420070400
2015-02,20,9,1422748800
2015-03,20,6,1425168000
2015-04,23,7,1427846400
2015-05,21,8,1430438400
2015-06,15,6,1433116800
2015-07,12,5,1435708800
2015-08,15,8,1438387200
2015-09,15,7,1441065600
2015-10,13,6,1443657600
2015-11,8,4,1446336000
2015-12,22,5,1448928000
2016-01,58,8,1451606400
2016-02,53,8,1454284800
2016-03,59,7,1456790400
2016-04,42,4,1459468800
2016-05,34,5,1462060800
2016-06,44,7,1464739200
2016-07,34,7,1467331200
2016-08,58,5,1470009600
2016-09,52,11,1472688000
2016-10,60,11,1475280000
2016-11,45,6,1477958400
2016-12,53,12,1480550400
2017-01,53,8,1483228800
2017-02,101,13,1485907200
2017-03,94,10,1488326400
2017-04,112,13,1491004800
2017-05,225,21,1493596800
2017-06,193,11,1496275200
2017-07,108,5,1498867200
2017-08,160,11,1501545600
2017-09,242,31,1504224000
2017-10,255,25,1506816000
2017-11,309,20,1509494400
2017-12,267,24,1512086400
2018-01,280,24,1514764800
2018-02,263,24,1517443200
2018-03,353,29,1519862400
2018-04,290,32,1522540800
2018-05,350,22,1525132800
2018-06,354,36,1527811200
2018-07,466,35,1530403200
2018-08,493,36,1533081600
2018-09,474,45,1535760000
2018-10,395,47,1538352000
2018-11,509,42,1541030400
2018-12,480,53,1543622400
2019-01,550,48,1546300800
2019-02,488,55,1548979200
2019-03,674,54,1551398400
2019-04,684,52,1554076800
2019-05,651,63,1556668800
2019-06,858,55,1559347200
2019-07,914,40,1561939200
2019-08,1104,53,1564617600
2019-09,843,40,1567296000
2019-10,878,60,1569888000
2019-11,1021,52,1572566400
2019-12,892,45,1575158400
2020-01,856,55,1577836800
2020-02,780,33,1580515200
2020-03,912,54,1583020800
2020-04,879,49,1585699200
2020-05,993,66,1588291200
2020-06,916,68,1590969600
2020-07,899,48,1593561600
2020-08,1012,67,1596240000
2020-09,443,55,1598918400
