YYYY-MM,nCommits,nAuthors,timestamp
2013-06,1,1,1370044800
2013-07,4,1,1372636800
2013-08,63,4,1375315200
2013-09,181,6,1377993600
2013-10,120,5,1380585600
2013-11,201,3,1383264000
2013-12,78,4,1385856000
2014-01,55,5,1388534400
2014-02,255,9,1391212800
2014-03,185,7,1393632000
2014-04,91,5,1396310400
2014-05,167,5,1398902400
2014-06,642,11,1401580800
2014-07,599,13,1404172800
2014-08,319,18,1406851200
2014-09,84,10,1409529600
2014-10,162,18,1412121600
2014-11,156,19,1414800000
2014-12,109,7,1417392000
2015-01,231,11,1420070400
2015-02,170,15,1422748800
2015-03,231,16,1425168000
2015-04,153,12,1427846400
2015-05,107,16,1430438400
2015-06,352,21,1433116800
2015-07,105,23,1435708800
2015-08,135,19,1438387200
2015-09,173,29,1441065600
2015-10,170,19,1443657600
2015-11,190,35,1446336000
2015-12,168,25,1448928000
2016-01,236,30,1451606400
2016-02,213,31,1454284800
2016-03,216,21,1456790400
2016-04,225,27,1459468800
2016-05,307,35,1462060800
2016-06,385,38,1464739200
2016-07,227,35,1467331200
2016-08,404,38,1470009600
2016-09,334,39,1472688000
2016-10,482,50,1475280000
2016-11,405,40,1477958400
2016-12,241,36,1480550400
2017-01,303,42,1483228800
2017-02,303,43,1485907200
2017-03,345,37,1488326400
2017-04,252,34,1491004800
2017-05,293,28,1493596800
2017-06,313,42,1496275200
2017-07,319,43,1498867200
2017-08,511,28,1501545600
2017-09,501,30,1504224000
2017-10,353,32,1506816000
2017-11,358,38,1509494400
2017-12,230,27,1512086400
2018-01,304,36,1514764800
2018-02,360,40,1517443200
2018-03,287,29,1519862400
2018-04,268,32,1522540800
2018-05,207,29,1525132800
2018-06,191,31,1527811200
2018-07,250,35,1530403200
2018-08,319,56,1533081600
2018-09,177,31,1535760000
2018-10,281,42,1538352000
2018-11,221,37,1541030400
2018-12,186,47,1543622400
2019-01,281,46,1546300800
2019-02,168,42,1548979200
2019-03,222,44,1551398400
2019-04,184,41,1554076800
2019-05,195,44,1556668800
2019-06,263,36,1559347200
2019-07,271,33,1561939200
2019-08,260,34,1564617600
2019-09,311,31,1567296000
2019-10,245,30,1569888000
2019-11,255,35,1572566400
2019-12,195,24,1575158400
2020-01,272,30,1577836800
2020-02,262,22,1580515200
2020-03,206,30,1583020800
2020-04,357,47,1585699200
2020-05,149,24,1588291200
2020-06,83,24,1590969600
2020-07,48,18,1593561600
2020-08,38,15,1596240000
2020-09,9,7,1598918400
