YYYY-MM,nCommits,nAuthors,timestamp
2014-07,70,9,1404172800
2014-08,44,8,1406851200
2014-09,4,2,1409529600
2014-10,60,8,1412121600
2014-11,16,4,1414800000
2014-12,22,5,1417392000
2015-01,34,6,1420070400
2015-02,88,16,1422748800
2015-03,145,20,1425168000
2015-04,105,10,1427846400
2015-05,142,20,1430438400
2015-06,156,17,1433116800
2015-07,139,22,1435708800
2015-08,102,18,1438387200
2015-09,198,21,1441065600
2015-10,158,30,1443657600
2015-11,166,26,1446336000
2015-12,292,28,1448928000
2016-01,239,31,1451606400
2016-02,235,33,1454284800
2016-03,216,32,1456790400
2016-04,190,36,1459468800
2016-05,172,35,1462060800
2016-06,83,29,1464739200
2016-07,111,28,1467331200
2016-08,68,17,1470009600
2016-09,47,19,1472688000
2016-10,105,31,1475280000
2016-11,136,36,1477958400
2016-12,97,34,1480550400
2017-01,78,28,1483228800
2017-02,94,37,1485907200
2017-03,97,32,1488326400
2017-04,119,38,1491004800
2017-05,66,26,1493596800
2017-06,81,22,1496275200
2017-07,140,32,1498867200
2017-08,118,32,1501545600
2017-09,41,16,1504224000
2017-10,140,41,1506816000
2017-11,122,33,1509494400
2017-12,62,19,1512086400
2018-01,97,31,1514764800
2018-02,34,15,1517443200
2018-03,40,15,1519862400
2018-04,59,15,1522540800
2018-05,138,35,1525132800
2018-06,80,24,1527811200
2018-07,56,21,1530403200
2018-08,59,25,1533081600
2018-09,28,12,1535760000
2018-10,114,31,1538352000
2018-11,62,15,1541030400
2018-12,32,15,1543622400
2019-01,45,12,1546300800
2019-02,63,22,1548979200
2019-03,45,18,1551398400
2019-04,30,13,1554076800
2019-05,43,17,1556668800
2019-06,51,13,1559347200
2019-07,84,21,1561939200
2019-08,27,11,1564617600
2019-09,21,8,1567296000
2019-10,36,17,1569888000
2019-11,19,10,1572566400
2019-12,9,6,1575158400
2020-01,40,19,1577836800
2020-02,36,13,1580515200
2020-03,36,15,1583020800
2020-04,43,11,1585699200
2020-05,21,10,1588291200
2020-06,51,16,1590969600
2020-07,36,10,1593561600
2020-08,14,4,1596240000
