YYYY-MM,nCommits,nAuthors,timestamp
2012-03,19,2,1330560000
2012-04,64,4,1333238400
2012-05,55,8,1335830400
2012-06,12,3,1338508800
2012-07,16,3,1341100800
2012-08,4,2,1343779200
2012-09,18,3,1346457600
2012-10,22,3,1349049600
2012-11,6,2,1351728000
2012-12,12,5,1354320000
2013-01,20,2,1356998400
2013-02,60,4,1359676800
2013-03,11,1,1362096000
2013-04,8,3,1364774400
2013-06,1,1,1370044800
2013-07,4,2,1372636800
2014-01,1,1,1388534400
2014-02,3,2,1391212800
2014-03,4,2,1393632000
2014-05,4,3,1398902400
2014-06,16,4,1401580800
2014-07,2,2,1404172800
2014-08,4,2,1406851200
2014-09,28,5,1409529600
2014-10,13,8,1412121600
2014-11,3,3,1414800000
2014-12,6,2,1417392000
2015-01,81,10,1420070400
2015-02,9,4,1422748800
2015-03,16,6,1425168000
2015-04,7,3,1427846400
2015-05,2,2,1430438400
2015-06,18,4,1433116800
2015-07,61,6,1435708800
2015-08,99,8,1438387200
2015-09,15,6,1441065600
2015-10,42,9,1443657600
2015-11,52,9,1446336000
2015-12,75,12,1448928000
2016-01,114,11,1451606400
2016-02,87,15,1454284800
2016-03,85,17,1456790400
2016-04,11,6,1459468800
2016-05,31,14,1462060800
2016-06,6,6,1464739200
2016-07,59,12,1467331200
2016-08,29,17,1470009600
2016-09,49,8,1472688000
2016-10,35,10,1475280000
2016-11,27,11,1477958400
2016-12,9,5,1480550400
2017-01,56,18,1483228800
2017-02,12,10,1485907200
2017-03,61,12,1488326400
2017-04,24,11,1491004800
2017-05,89,13,1493596800
2017-06,28,7,1496275200
2017-07,36,3,1498867200
2017-08,36,6,1501545600
2017-09,5,4,1504224000
2017-10,27,8,1506816000
2017-11,40,15,1509494400
2017-12,58,14,1512086400
2018-01,117,13,1514764800
2018-02,36,9,1517443200
2018-03,6,3,1519862400
2018-04,27,11,1522540800
2018-05,41,13,1525132800
2018-06,27,10,1527811200
2018-07,57,7,1530403200
2018-08,50,13,1533081600
2018-09,81,15,1535760000
2018-10,127,16,1538352000
2018-11,235,21,1541030400
2018-12,262,13,1543622400
2019-01,51,16,1546300800
2019-02,73,15,1548979200
2019-03,88,14,1551398400
2019-04,66,9,1554076800
2019-05,46,13,1556668800
2019-06,40,11,1559347200
2019-07,42,14,1561939200
2019-08,68,13,1564617600
2019-09,55,13,1567296000
2019-10,69,10,1569888000
2019-11,55,11,1572566400
2019-12,32,13,1575158400
2020-01,93,19,1577836800
2020-02,129,14,1580515200
2020-03,40,8,1583020800
2020-04,54,17,1585699200
2020-05,48,13,1588291200
2020-06,39,15,1590969600
2020-07,93,24,1593561600
2020-08,63,13,1596240000
2020-09,36,13,1598918400
