YYYY-MM,nCommits,nAuthors,timestamp
2006-08,5,1,1154390400
2006-09,101,1,1157068800
2006-10,86,1,1159660800
2006-11,45,1,1162339200
2006-12,64,2,1164931200
2007-01,58,1,1167609600
2007-02,72,1,1170288000
2007-03,77,1,1172707200
2007-04,67,2,1175385600
2007-05,55,2,1177977600
2007-06,35,1,1180656000
2007-07,16,1,1183248000
2007-08,16,3,1185926400
2007-09,24,4,1188604800
2007-10,5,1,1191196800
2007-11,6,1,1193875200
2007-12,20,1,1196467200
2008-01,22,5,1199145600
2008-02,9,2,1201824000
2008-03,35,4,1204329600
2008-04,22,3,1207008000
2008-05,12,4,1209600000
2008-06,6,2,1212278400
2008-07,13,3,1214870400
2008-08,9,2,1217548800
2008-09,13,3,1220227200
2008-10,9,2,1222819200
2008-11,21,2,1225497600
2008-12,7,2,1228089600
2009-01,34,4,1230768000
2009-02,29,5,1233446400
2009-03,29,2,1235865600
2009-04,11,3,1238544000
2009-06,9,2,1243814400
2009-07,3,1,1246406400
2009-08,3,1,1249084800
2009-09,10,2,1251763200
2009-10,66,3,1254355200
2009-11,9,2,1257033600
2010-01,13,1,1262304000
2010-03,3,1,1267401600
2010-04,21,2,1270080000
2010-05,3,1,1272672000
2010-06,4,1,1275350400
2010-07,1,1,1277942400
2010-08,2,1,1280620800
2010-09,1,1,1283299200
2010-10,4,2,1285891200
2011-01,5,3,1293840000
2011-03,20,5,1298937600
2011-04,13,2,1301616000
2011-05,67,6,1304208000
2011-06,58,4,1306886400
2011-07,106,5,1309478400
2011-08,31,4,1312156800
2011-09,30,4,1314835200
2011-10,56,7,1317427200
2011-11,17,4,1320105600
2011-12,33,6,1322697600
2012-01,53,6,1325376000
2012-02,34,6,1328054400
2012-03,14,4,1330560000
2012-04,18,6,1333238400
2012-05,103,9,1335830400
2012-06,92,11,1338508800
2012-07,11,5,1341100800
2012-08,44,7,1343779200
2012-09,44,4,1346457600
2012-10,13,4,1349049600
2012-11,16,4,1351728000
2012-12,17,3,1354320000
2013-01,131,5,1356998400
2013-02,12,4,1359676800
2013-03,4,2,1362096000
2013-04,26,7,1364774400
2013-05,39,6,1367366400
2013-06,184,13,1370044800
2013-07,86,7,1372636800
2013-08,35,9,1375315200
2013-09,47,8,1377993600
2013-10,18,7,1380585600
2013-11,44,9,1383264000
2013-12,100,10,1385856000
2014-01,175,8,1388534400
2014-02,25,7,1391212800
2014-03,243,14,1393632000
2014-04,218,11,1396310400
2014-05,222,4,1398902400
2014-06,36,7,1401580800
2014-07,41,5,1404172800
2014-08,15,3,1406851200
2014-09,37,4,1409529600
2014-10,32,6,1412121600
2014-11,27,3,1414800000
2014-12,52,8,1417392000
2015-01,22,4,1420070400
2015-02,34,4,1422748800
2015-03,4,1,1425168000
2015-05,19,4,1430438400
2015-06,36,3,1433116800
2015-07,83,3,1435708800
2015-08,56,4,1438387200
2015-09,51,6,1441065600
2015-10,24,5,1443657600
2015-11,70,2,1446336000
2015-12,39,8,1448928000
2016-01,10,5,1451606400
2016-02,10,5,1454284800
2016-03,16,4,1456790400
2016-04,20,3,1459468800
2016-05,26,3,1462060800
2016-06,44,2,1464739200
2016-07,58,5,1467331200
2016-08,34,4,1470009600
2016-09,19,9,1472688000
2016-10,23,5,1475280000
2016-11,33,9,1477958400
2016-12,160,17,1480550400
2017-01,407,16,1483228800
2017-02,157,12,1485907200
2017-03,187,10,1488326400
2017-04,240,13,1491004800
2017-05,136,14,1493596800
2017-06,19,6,1496275200
2017-07,111,5,1498867200
2017-08,5,3,1501545600
2017-09,5,3,1504224000
2017-10,9,5,1506816000
2017-11,4,3,1509494400
2017-12,19,8,1512086400
2018-01,120,10,1514764800
2018-02,150,7,1517443200
2018-03,127,12,1519862400
2018-04,10,4,1522540800
2018-05,12,5,1525132800
2018-06,4,3,1527811200
2018-07,72,10,1530403200
2018-08,103,8,1533081600
2018-09,219,5,1535760000
2018-10,168,14,1538352000
2018-11,133,6,1541030400
2018-12,69,5,1543622400
2019-01,40,5,1546300800
2019-02,99,4,1548979200
2019-03,273,4,1551398400
2019-04,172,5,1554076800
2019-05,39,5,1556668800
2019-06,30,5,1559347200
2019-07,38,5,1561939200
2019-08,139,4,1564617600
2019-09,125,4,1567296000
2019-10,153,5,1569888000
2019-11,190,4,1572566400
2019-12,140,5,1575158400
2020-01,125,4,1577836800
2020-02,239,6,1580515200
2020-03,255,6,1583020800
2020-04,20,3,1585699200
2020-05,53,7,1588291200
2020-06,108,6,1590969600
2020-07,65,4,1593561600
2020-08,61,4,1596240000
2020-09,49,3,1598918400
