YYYY-MM,nCommits,nAuthors,timestamp
2015-09,21,6,1441065600
2015-10,48,6,1443657600
2015-11,44,3,1446336000
2015-12,25,4,1448928000
2016-01,42,6,1451606400
2016-02,135,5,1454284800
2016-03,51,5,1456790400
2016-04,119,5,1459468800
2016-05,89,4,1462060800
2016-06,287,8,1464739200
2016-07,249,9,1467331200
2016-08,259,9,1470009600
2016-09,159,6,1472688000
2016-10,374,8,1475280000
2016-11,315,7,1477958400
2016-12,46,5,1480550400
2017-01,130,4,1483228800
2017-02,205,5,1485907200
2017-03,197,4,1488326400
2017-04,405,6,1491004800
2017-05,144,5,1493596800
2017-06,396,5,1496275200
2017-07,66,4,1498867200
2017-08,38,1,1501545600
2017-09,52,3,1504224000
2017-10,327,4,1506816000
2017-11,375,7,1509494400
2017-12,115,5,1512086400
2018-01,69,3,1514764800
2018-02,185,7,1517443200
2018-03,204,5,1519862400
2018-04,143,3,1522540800
2018-05,66,4,1525132800
2018-06,131,4,1527811200
2018-07,104,5,1530403200
2018-08,135,3,1533081600
2018-09,123,7,1535760000
2018-10,87,8,1538352000
2018-11,78,6,1541030400
2018-12,88,4,1543622400
2019-01,124,6,1546300800
2019-02,59,6,1548979200
2019-03,101,3,1551398400
2019-04,64,7,1554076800
2019-05,34,2,1556668800
2019-06,13,3,1559347200
2019-07,57,5,1561939200
2019-08,6,1,1564617600
2019-09,146,6,1567296000
2019-10,153,2,1569888000
2019-11,77,3,1572566400
2019-12,10,5,1575158400
2020-01,99,5,1577836800
2020-02,173,6,1580515200
2020-03,267,5,1583020800
2020-04,234,5,1585699200
2020-05,177,7,1588291200
2020-06,108,5,1590969600
2020-07,112,5,1593561600
2020-08,184,7,1596240000
2020-09,20,5,1598918400
