YYYY-MM,nCommits,nAuthors,timestamp
2009-09,167,1,1251763200
2009-10,148,2,1254355200
2009-11,174,1,1257033600
2009-12,72,1,1259625600
2010-01,60,7,1262304000
2010-02,210,2,1264982400
2010-03,142,8,1267401600
2010-04,104,14,1270080000
2010-05,150,12,1272672000
2010-06,94,11,1275350400
2010-07,66,6,1277942400
2010-08,138,13,1280620800
2010-09,136,19,1283299200
2010-10,110,12,1285891200
2010-11,266,12,1288569600
2010-12,186,12,1291161600
2011-01,80,12,1293840000
2011-02,138,16,1296518400
2011-03,211,20,1298937600
2011-04,187,20,1301616000
2011-05,178,15,1304208000
2011-06,143,17,1306886400
2011-07,175,15,1309478400
2011-08,181,16,1312156800
2011-09,88,17,1314835200
2011-10,264,19,1317427200
2011-11,238,18,1320105600
2011-12,240,13,1322697600
2012-01,155,15,1325376000
2012-02,235,14,1328054400
2012-03,231,17,1330560000
2012-04,127,14,1333238400
2012-05,205,15,1335830400
2012-06,90,13,1338508800
2012-07,186,16,1341100800
2012-08,203,13,1343779200
2012-09,307,13,1346457600
2012-10,239,19,1349049600
2012-11,153,12,1351728000
2012-12,232,16,1354320000
2013-01,269,19,1356998400
2013-02,356,22,1359676800
2013-03,274,19,1362096000
2013-04,332,23,1364774400
2013-05,82,22,1367366400
2013-06,230,19,1370044800
2013-07,271,33,1372636800
2013-08,311,25,1375315200
2013-09,125,18,1377993600
2013-10,87,13,1380585600
2013-11,129,23,1383264000
2013-12,60,15,1385856000
2014-01,92,13,1388534400
2014-02,108,18,1391212800
2014-03,120,17,1393632000
2014-04,61,12,1396310400
2014-05,77,21,1398902400
2014-06,89,21,1401580800
2014-07,108,19,1404172800
2014-08,80,14,1406851200
2014-09,148,20,1409529600
2014-10,76,13,1412121600
2014-11,164,16,1414800000
2014-12,239,27,1417392000
2015-01,151,15,1420070400
2015-02,73,13,1422748800
2015-03,145,20,1425168000
2015-04,104,12,1427846400
2015-05,59,11,1430438400
2015-06,100,11,1433116800
2015-07,14,8,1435708800
2015-08,16,8,1438387200
2015-09,29,22,1441065600
2015-10,52,29,1443657600
2015-11,24,14,1446336000
2015-12,7,5,1448928000
2016-01,14,9,1451606400
2016-02,15,11,1454284800
2016-03,11,10,1456790400
2016-04,6,6,1459468800
2016-05,1,1,1462060800
2016-08,73,40,1470009600
2016-09,6,2,1472688000
2016-12,1,1,1480550400
2017-03,1,1,1488326400
2019-03,2,1,1551398400
