YYYY-MM,nCommits,nAuthors,timestamp
2012-10,1,1,1349049600
2012-12,1,1,1354320000
2013-02,1,1,1359676800
2013-05,1,1,1367366400
2014-06,2,1,1401580800
2014-08,1,1,1406851200
2014-12,1,1,1417392000
2015-04,68,5,1427846400
2015-05,64,17,1430438400
2015-06,113,19,1433116800
2015-07,60,11,1435708800
2015-08,161,13,1438387200
2015-09,167,15,1441065600
2015-10,208,18,1443657600
2015-11,267,29,1446336000
2015-12,164,22,1448928000
2016-01,105,13,1451606400
2016-02,106,20,1454284800
2016-03,180,30,1456790400
2016-04,208,21,1459468800
2016-05,156,22,1462060800
2016-06,200,20,1464739200
2016-07,101,20,1467331200
2016-08,195,25,1470009600
2016-09,166,29,1472688000
2016-10,170,24,1475280000
2016-11,265,28,1477958400
2016-12,195,22,1480550400
2017-01,218,25,1483228800
2017-02,103,17,1485907200
2017-03,261,26,1488326400
2017-04,97,24,1491004800
2017-05,86,14,1493596800
2017-06,171,28,1496275200
2017-07,103,23,1498867200
2017-08,126,21,1501545600
2017-09,61,19,1504224000
2017-10,71,21,1506816000
2017-11,341,23,1509494400
2017-12,141,18,1512086400
2018-01,67,14,1514764800
2018-02,120,27,1517443200
2018-03,279,32,1519862400
2018-04,147,24,1522540800
2018-05,144,19,1525132800
2018-06,180,22,1527811200
2018-07,64,15,1530403200
2018-08,111,16,1533081600
2018-09,114,22,1535760000
2018-10,148,28,1538352000
2018-11,122,30,1541030400
2018-12,96,27,1543622400
2019-01,76,26,1546300800
2019-02,219,29,1548979200
2019-03,152,21,1551398400
2019-04,195,25,1554076800
2019-05,133,20,1556668800
2019-06,245,28,1559347200
2019-07,104,17,1561939200
2019-08,131,18,1564617600
2019-09,183,19,1567296000
2019-10,228,21,1569888000
2019-11,215,22,1572566400
2019-12,97,14,1575158400
2020-01,210,20,1577836800
2020-02,244,24,1580515200
2020-03,408,29,1583020800
2020-04,534,32,1585699200
2020-05,284,31,1588291200
2020-06,174,21,1590969600
2020-07,228,25,1593561600
2020-08,161,23,1596240000
2020-09,34,13,1598918400
