YYYY-MM,nCommits,nAuthors,timestamp
2011-06,42,1,1306886400
2011-07,15,4,1309478400
2011-08,37,1,1312156800
2011-09,117,2,1314835200
2011-10,9,4,1317427200
2011-11,12,1,1320105600
2012-01,7,1,1325376000
2012-03,31,4,1330560000
2012-04,31,4,1333238400
2012-05,59,4,1335830400
2012-06,8,3,1338508800
2012-07,11,4,1341100800
2012-08,18,2,1343779200
2012-09,3,2,1346457600
2012-10,15,2,1349049600
2012-11,75,2,1351728000
2012-12,71,2,1354320000
2013-01,12,2,1356998400
2013-02,5,1,1359676800
2013-03,6,1,1362096000
2013-04,84,4,1364774400
2013-05,39,2,1367366400
2013-06,14,2,1370044800
2013-07,36,1,1372636800
2013-08,1,1,1375315200
2013-09,17,3,1377993600
2013-10,16,4,1380585600
2013-11,5,1,1383264000
2013-12,11,3,1385856000
2014-01,17,2,1388534400
2014-02,87,4,1391212800
2014-03,42,4,1393632000
2014-04,23,3,1396310400
2014-05,56,4,1398902400
2014-06,44,5,1401580800
2014-07,64,7,1404172800
2014-08,22,4,1406851200
2014-09,16,3,1409529600
2014-10,15,2,1412121600
2015-01,1,1,1420070400
2015-02,4,3,1422748800
2015-03,1,1,1425168000
2015-04,14,1,1427846400
2015-05,2,2,1430438400
2015-07,3,1,1435708800
2015-09,53,4,1441065600
2015-10,38,4,1443657600
2015-11,41,3,1446336000
2015-12,25,5,1448928000
2016-01,64,5,1451606400
2016-02,22,4,1454284800
2016-03,118,6,1456790400
2016-04,43,4,1459468800
2016-05,27,3,1462060800
2016-06,212,9,1464739200
2016-07,19,5,1467331200
2016-08,9,3,1470009600
2016-09,9,2,1472688000
2016-10,5,2,1475280000
2016-11,15,3,1477958400
2016-12,36,4,1480550400
2017-01,140,4,1483228800
2017-02,9,3,1485907200
2017-03,41,2,1488326400
2017-05,7,2,1493596800
2017-06,1,1,1496275200
2017-07,14,1,1498867200
2017-08,3,2,1501545600
2017-09,28,2,1504224000
2017-10,39,3,1506816000
2017-11,117,2,1509494400
2017-12,19,2,1512086400
2018-01,5,2,1514764800
2018-02,24,2,1517443200
2018-03,6,1,1519862400
2018-04,5,2,1522540800
2018-05,8,1,1525132800
2018-06,5,2,1527811200
2018-07,2,1,1530403200
2018-08,31,2,1533081600
2018-09,12,2,1535760000
2018-11,4,2,1541030400
2018-12,5,2,1543622400
2019-01,10,2,1546300800
2019-02,6,2,1548979200
2019-03,2,2,1551398400
2019-04,7,1,1554076800
2019-05,3,1,1556668800
2019-07,5,2,1561939200
2019-09,1,1,1567296000
2019-10,3,2,1569888000
2019-11,2,2,1572566400
2019-12,2,1,1575158400
2020-01,1,1,1577836800
2020-02,1,1,1580515200
2020-03,2,1,1583020800
2020-04,2,1,1585699200
2020-05,2,1,1588291200
2020-06,87,2,1590969600
2020-07,129,3,1593561600
2020-08,33,1,1596240000
