YYYY-MM,nCommits,nAuthors,timestamp
2015-03,337,4,1425168000
2015-04,535,5,1427846400
2015-05,880,9,1430438400
2015-06,885,8,1433116800
2015-07,1460,7,1435708800
2015-08,755,7,1438387200
2015-09,690,6,1441065600
2015-10,1386,10,1443657600
2015-11,1954,8,1446336000
2015-12,1287,11,1448928000
2016-01,1169,12,1451606400
2016-02,1776,8,1454284800
2016-03,1209,10,1456790400
2016-04,1768,11,1459468800
2016-05,861,8,1462060800
2016-06,1142,9,1464739200
2016-07,2144,12,1467331200
2016-08,2135,6,1470009600
2016-09,1332,13,1472688000
2016-10,905,12,1475280000
2016-11,899,8,1477958400
2016-12,744,10,1480550400
2017-01,1195,9,1483228800
2017-02,1182,8,1485907200
2017-03,1794,11,1488326400
2017-04,1440,13,1491004800
2017-05,931,14,1493596800
2017-06,507,15,1496275200
2017-07,375,11,1498867200
2017-08,1058,22,1501545600
2017-09,1013,15,1504224000
2017-10,629,16,1506816000
2017-11,565,15,1509494400
2017-12,391,16,1512086400
2018-01,785,15,1514764800
2018-02,582,13,1517443200
2018-03,587,14,1519862400
2018-04,721,14,1522540800
2018-05,364,16,1525132800
2018-06,423,18,1527811200
2018-07,240,16,1530403200
2018-08,200,14,1533081600
2018-09,264,14,1535760000
2018-10,233,11,1538352000
2018-11,139,9,1541030400
2018-12,202,14,1543622400
2019-01,250,13,1546300800
2019-02,119,6,1548979200
2019-03,111,5,1551398400
2019-04,172,6,1554076800
2019-05,126,6,1556668800
2019-06,59,6,1559347200
2019-07,56,6,1561939200
2019-08,65,7,1564617600
2019-09,71,5,1567296000
2019-10,90,5,1569888000
2019-11,56,6,1572566400
2019-12,112,6,1575158400
2020-01,100,6,1577836800
2020-02,59,5,1580515200
2020-03,67,6,1583020800
2020-04,44,6,1585699200
2020-05,7,4,1588291200
2020-06,23,6,1590969600
2020-07,20,5,1593561600
2020-08,2,1,1596240000
