YYYY-MM,nCommits,nAuthors,timestamp
2014-08,12,6,1406851200
2014-09,200,21,1409529600
2014-10,351,22,1412121600
2014-11,245,23,1414800000
2014-12,396,18,1417392000
2015-01,524,14,1420070400
2015-02,468,22,1422748800
2015-03,542,23,1425168000
2015-04,926,28,1427846400
2015-05,388,25,1430438400
2015-06,891,22,1433116800
2015-07,892,32,1435708800
2015-08,980,32,1438387200
2015-09,1121,33,1441065600
2015-10,1081,31,1443657600
2015-11,752,26,1446336000
2015-12,540,22,1448928000
2016-01,1131,40,1451606400
2016-02,843,36,1454284800
2016-03,811,30,1456790400
2016-04,735,34,1459468800
2016-05,682,35,1462060800
2016-06,572,32,1464739200
2016-07,894,27,1467331200
2016-08,992,45,1470009600
2016-09,796,41,1472688000
2016-10,847,31,1475280000
2016-11,492,30,1477958400
2016-12,343,29,1480550400
2017-01,336,28,1483228800
2017-02,655,36,1485907200
2017-03,597,33,1488326400
2017-04,301,25,1491004800
2017-05,372,28,1493596800
2017-06,594,26,1496275200
2017-07,667,27,1498867200
2017-08,701,29,1501545600
2017-09,544,26,1504224000
2017-10,488,29,1506816000
2017-11,480,19,1509494400
2017-12,279,19,1512086400
2018-01,198,23,1514764800
2018-02,607,23,1517443200
2018-03,747,26,1519862400
2018-04,497,26,1522540800
2018-05,457,22,1525132800
2018-06,459,27,1527811200
2018-07,430,26,1530403200
2018-08,631,27,1533081600
2018-09,395,24,1535760000
2018-10,360,22,1538352000
2018-11,301,26,1541030400
2018-12,225,18,1543622400
2019-01,170,20,1546300800
2019-02,175,21,1548979200
2019-03,392,20,1551398400
2019-04,260,20,1554076800
2019-05,528,23,1556668800
2019-06,91,15,1559347200
2019-07,79,12,1561939200
2019-08,50,10,1564617600
2019-09,54,8,1567296000
2019-10,76,12,1569888000
2019-11,65,10,1572566400
2019-12,71,7,1575158400
2020-01,54,7,1577836800
2020-02,52,9,1580515200
2020-03,41,6,1583020800
2020-04,46,8,1585699200
2020-05,76,10,1588291200
2020-06,79,13,1590969600
2020-07,65,9,1593561600
2020-08,57,5,1596240000
2020-09,19,4,1598918400
