YYYY-MM,nCommits,nAuthors,timestamp
2002-01,19,4,1009843200
2002-02,110,8,1012521600
2002-03,144,11,1014940800
2002-04,136,11,1017619200
2002-05,90,13,1020211200
2002-06,204,12,1022889600
2002-07,147,17,1025481600
2002-08,159,19,1028160000
2002-09,212,23,1030838400
2002-10,185,21,1033430400
2002-11,234,21,1036108800
2002-12,189,19,1038700800
2003-01,214,18,1041379200
2003-02,78,17,1044057600
2003-03,144,15,1046476800
2003-04,158,15,1049155200
2003-05,352,21,1051747200
2003-06,262,21,1054425600
2003-07,257,24,1057017600
2003-08,169,16,1059696000
2003-09,94,13,1062374400
2003-10,68,13,1064966400
2003-11,103,13,1067644800
2003-12,101,12,1070236800
2004-01,84,12,1072915200
2004-02,122,14,1075593600
2004-03,130,17,1078099200
2004-04,196,17,1080777600
2004-05,69,11,1083369600
2004-06,44,7,1086048000
2004-07,57,11,1088640000
2004-08,57,10,1091318400
2004-09,88,10,1093996800
2004-10,56,12,1096588800
2004-11,32,8,1099267200
2004-12,26,7,1101859200
2005-01,71,9,1104537600
2005-02,49,12,1107216000
2005-03,80,11,1109635200
2005-04,19,7,1112313600
2005-05,19,4,1114905600
2005-06,35,7,1117584000
2005-07,16,3,1120176000
2005-08,26,5,1122854400
2005-09,8,4,1125532800
2005-10,6,3,1128124800
2005-11,2,1,1130803200
2005-12,2,1,1133395200
2006-01,2,1,1136073600
2006-03,3,2,1141171200
2006-04,1,1,1143849600
2006-05,7,3,1146441600
2006-06,1,1,1149120000
2006-08,1,1,1154390400
2006-09,1,1,1157068800
2006-11,1,1,1162339200
2007-01,3,2,1167609600
2007-02,3,2,1170288000
2007-06,1,1,1180656000
2007-07,18,2,1183248000
2007-08,3,1,1185926400
2007-09,2,2,1188604800
2007-10,1,1,1191196800
2007-11,1,1,1193875200
2007-12,5,1,1196467200
2008-01,2,1,1199145600
2008-04,1,1,1207008000
2008-08,3,1,1217548800
2008-09,4,1,1220227200
2008-10,10,1,1222819200
2008-11,2,1,1225497600
2009-03,2,1,1235865600
2009-05,1,1,1241136000
2009-06,1,1,1243814400
2009-07,5,1,1246406400
2009-08,11,2,1249084800
2009-09,10,1,1251763200
2009-10,4,1,1254355200
2009-11,4,1,1257033600
2009-12,3,1,1259625600
2010-02,3,1,1264982400
2010-03,1,1,1267401600
2010-06,3,1,1275350400
2010-07,1,1,1277942400
2010-08,42,1,1280620800
2010-09,27,3,1283299200
2010-10,1,1,1285891200
2010-11,3,1,1288569600
2010-12,14,1,1291161600
2011-01,12,1,1293840000
2011-03,24,2,1298937600
2011-04,48,1,1301616000
2011-05,31,1,1304208000
2011-06,59,1,1306886400
2011-07,2,1,1309478400
2011-09,1,1,1314835200
2011-11,22,1,1320105600
2011-12,24,2,1322697600
2012-01,2,1,1325376000
2012-04,17,1,1333238400
2012-05,10,1,1335830400
2012-08,3,1,1343779200
2013-08,7,1,1375315200
2013-10,1,1,1380585600
2014-01,1,1,1388534400
2014-02,2,1,1391212800
