YYYY-MM,nCommits,nAuthors,timestamp
2011-02,264,2,1296518400
2011-03,371,2,1298937600
2011-04,198,2,1301616000
2011-05,1394,5,1304208000
2011-06,1630,6,1306886400
2011-07,672,6,1309478400
2011-08,212,7,1312156800
2011-09,41,3,1314835200
2011-10,6,1,1317427200
2011-11,338,5,1320105600
2011-12,239,6,1322697600
2012-02,14,5,1328054400
2012-03,80,8,1330560000
2012-04,21,4,1333238400
2012-05,1,1,1335830400
2012-06,1,1,1338508800
2012-07,7,2,1341100800
2012-08,5,2,1343779200
2012-09,216,11,1346457600
2012-10,172,5,1349049600
2012-11,691,7,1351728000
2012-12,249,6,1354320000
2013-01,52,8,1356998400
2013-02,277,9,1359676800
2013-03,403,5,1362096000
2013-04,252,5,1364774400
2013-05,341,9,1367366400
2013-06,254,7,1370044800
2013-07,50,5,1372636800
2013-08,18,4,1375315200
2013-09,15,3,1377993600
2013-10,181,12,1380585600
2013-11,111,6,1383264000
2013-12,186,7,1385856000
2014-01,59,6,1388534400
2014-02,109,3,1391212800
2014-03,118,3,1393632000
2014-04,95,4,1396310400
2014-05,41,3,1398902400
2014-06,3,2,1401580800
2014-07,20,1,1404172800
2014-08,38,2,1406851200
2014-09,41,1,1409529600
2014-10,74,1,1412121600
2014-11,15,4,1414800000
2014-12,40,10,1417392000
2015-01,90,9,1420070400
2015-02,20,8,1422748800
2015-03,16,3,1425168000
2015-04,12,5,1427846400
2015-05,22,7,1430438400
2015-06,40,4,1433116800
2015-07,24,5,1435708800
2015-08,91,9,1438387200
2015-09,170,4,1441065600
2015-10,192,7,1443657600
2015-11,4,1,1446336000
2015-12,113,4,1448928000
2016-01,399,14,1451606400
2016-02,258,10,1454284800
2016-03,63,9,1456790400
2016-04,41,5,1459468800
2016-05,26,4,1462060800
2016-06,135,5,1464739200
2016-07,211,5,1467331200
2016-08,24,5,1470009600
2016-09,31,5,1472688000
2016-10,3,2,1475280000
2016-11,12,3,1477958400
2016-12,45,5,1480550400
2017-01,72,4,1483228800
2017-02,81,4,1485907200
2017-03,132,6,1488326400
2017-04,73,6,1491004800
2017-05,3,3,1493596800
2017-06,16,9,1496275200
2017-07,2,1,1498867200
2017-08,1,1,1501545600
2017-09,5,4,1504224000
2017-10,22,5,1506816000
2017-11,4,3,1509494400
2017-12,3,1,1512086400
2018-01,7,5,1514764800
2018-02,13,10,1517443200
2018-03,12,6,1519862400
2018-06,6,2,1527811200
2018-08,3,2,1533081600
2018-09,50,6,1535760000
2018-10,191,11,1538352000
2018-11,78,13,1541030400
2018-12,44,17,1543622400
2019-01,24,12,1546300800
2019-03,1,1,1551398400
2019-04,24,16,1554076800
2019-05,1,1,1556668800
2019-06,166,21,1559347200
2019-07,17,4,1561939200
2019-08,30,17,1564617600
2019-09,2,1,1567296000
2019-10,8,3,1569888000
2019-11,11,6,1572566400
2019-12,44,8,1575158400
2020-01,15,7,1577836800
2020-02,37,21,1580515200
2020-03,10,5,1583020800
2020-04,7,5,1585699200
2020-05,58,7,1588291200
2020-06,75,22,1590969600
