YYYY-MM,nCommits,nAuthors,timestamp
1999-06,41,5,928195200
1999-07,8,2,930787200
1999-08,2,1,933465600
1999-09,6,3,936144000
1999-10,12,2,938736000
1999-11,38,6,941414400
1999-12,39,6,944006400
2000-01,10,3,946684800
2000-02,18,2,949363200
2000-03,28,4,951868800
2000-04,20,3,954547200
2000-05,28,3,957139200
2000-06,34,3,959817600
2000-07,35,10,962409600
2000-08,77,15,965088000
2000-09,52,7,967766400
2000-10,24,7,970358400
2000-11,16,6,973036800
2000-12,26,6,975628800
2001-01,96,12,978307200
2001-02,78,12,980985600
2001-03,46,11,983404800
2001-04,22,7,986083200
2001-05,42,9,988675200
2001-06,46,7,991353600
2001-07,78,12,993945600
2001-08,57,11,996624000
2001-09,124,9,999302400
2001-10,84,13,1001894400
2001-11,106,12,1004572800
2001-12,96,9,1007164800
2002-01,290,15,1009843200
2002-02,192,12,1012521600
2002-03,70,13,1014940800
2002-04,88,10,1017619200
2002-05,98,12,1020211200
2002-06,56,8,1022889600
2002-07,165,9,1025481600
2002-08,133,11,1028160000
2002-09,18,5,1030838400
2002-10,36,8,1033430400
2002-11,62,9,1036108800
2002-12,87,12,1038700800
2003-01,52,10,1041379200
2003-02,56,7,1044057600
2003-03,42,9,1046476800
2003-04,122,10,1049155200
2003-05,160,18,1051747200
2003-06,96,10,1054425600
2003-07,76,10,1057017600
2003-08,28,5,1059696000
2003-09,14,4,1062374400
2003-10,10,4,1064966400
2003-11,28,7,1067644800
2003-12,74,8,1070236800
2004-01,64,5,1072915200
2004-02,58,11,1075593600
2004-03,12,6,1078099200
2004-04,40,11,1080777600
2004-05,45,8,1083369600
2004-06,44,6,1086048000
2004-07,40,11,1088640000
2004-08,94,14,1091318400
2004-09,98,12,1093996800
2004-10,41,5,1096588800
2004-11,116,5,1099267200
2004-12,44,10,1101859200
2005-01,46,10,1104537600
2005-02,48,4,1107216000
2005-03,40,5,1109635200
2005-04,104,9,1112313600
2005-05,10,2,1114905600
2005-06,65,8,1117584000
2005-07,81,10,1120176000
2005-08,42,7,1122854400
2005-09,82,12,1125532800
2005-10,12,5,1128124800
2005-11,14,4,1130803200
2005-12,20,3,1133395200
2006-01,122,5,1136073600
2006-02,14,3,1138752000
2006-03,10,4,1141171200
2006-04,10,3,1143849600
2006-05,10,3,1146441600
2006-06,10,3,1149120000
2006-07,26,4,1151712000
2006-08,26,5,1154390400
2006-09,30,6,1157068800
2006-11,14,6,1162339200
2007-01,127,9,1167609600
2007-02,98,7,1170288000
2007-03,16,4,1172707200
2007-04,26,6,1175385600
2007-05,24,3,1177977600
2007-06,57,10,1180656000
2007-07,44,6,1183248000
2007-08,34,5,1185926400
2007-09,160,5,1188604800
2007-10,20,3,1191196800
2007-11,38,8,1193875200
2007-12,90,6,1196467200
2008-01,66,9,1199145600
2008-02,72,7,1201824000
2008-03,55,8,1204329600
2008-04,62,8,1207008000
2008-05,40,6,1209600000
2008-06,26,9,1212278400
2008-07,36,8,1214870400
2008-08,30,4,1217548800
2008-09,14,3,1220227200
2008-10,26,5,1222819200
2008-11,30,6,1225497600
2008-12,86,9,1228089600
2009-01,80,10,1230768000
2009-02,34,11,1233446400
2009-03,48,8,1235865600
2009-04,20,6,1238544000
2009-05,28,7,1241136000
2009-06,12,3,1243814400
2009-07,56,8,1246406400
2009-08,32,8,1249084800
2009-09,20,7,1251763200
2009-10,36,8,1254355200
2009-11,42,9,1257033600
2009-12,6,3,1259625600
2010-01,28,5,1262304000
2010-02,22,5,1264982400
2010-03,22,5,1267401600
2010-04,48,7,1270080000
2010-05,50,7,1272672000
2010-06,24,5,1275350400
2010-07,8,3,1277942400
2010-08,8,3,1280620800
2010-09,8,4,1283299200
2010-10,16,7,1285891200
2010-11,30,2,1288569600
2010-12,14,6,1291161600
2011-01,14,5,1293840000
2011-02,22,8,1296518400
2011-03,10,3,1298937600
2011-04,38,5,1301616000
2011-05,46,5,1304208000
2011-06,40,5,1306886400
2011-07,50,10,1309478400
2011-08,44,12,1312156800
2011-09,32,6,1314835200
2011-10,16,6,1317427200
2011-11,10,4,1320105600
2011-12,19,5,1322697600
2012-01,24,2,1325376000
2012-02,24,5,1328054400
2012-03,8,3,1330560000
2012-04,10,4,1333238400
2012-06,20,6,1338508800
2012-07,8,3,1341100800
2012-08,12,5,1343779200
2012-09,10,3,1346457600
2012-10,6,2,1349049600
2012-11,22,6,1351728000
2012-12,6,3,1354320000
2013-01,14,3,1356998400
2013-02,8,1,1359676800
2013-03,12,6,1362096000
2013-04,4,2,1364774400
2013-05,24,1,1367366400
2013-06,10,5,1370044800
2013-07,4,2,1372636800
2013-08,6,3,1375315200
2013-09,4,2,1377993600
2013-10,10,3,1380585600
2013-11,2,1,1383264000
2013-12,18,2,1385856000
2014-01,14,4,1388534400
2014-02,8,3,1391212800
2014-03,16,4,1393632000
2014-04,12,4,1396310400
2014-05,4,2,1398902400
2014-06,8,1,1401580800
2014-07,8,2,1404172800
2014-08,8,2,1406851200
2014-09,6,1,1409529600
2014-10,2,1,1412121600
2015-01,8,4,1420070400
2015-02,24,5,1422748800
2015-03,2,1,1425168000
2015-04,2,1,1427846400
2015-06,6,2,1433116800
2015-08,18,3,1438387200
2015-09,14,4,1441065600
2015-10,14,3,1443657600
2015-11,6,3,1446336000
2015-12,12,4,1448928000
2016-01,6,2,1451606400
2016-02,2,1,1454284800
2016-04,2,1,1459468800
2016-05,2,1,1462060800
2016-06,6,2,1464739200
2016-07,2,1,1467331200
2016-08,4,2,1470009600
2016-09,12,3,1472688000
2016-10,14,3,1475280000
2016-11,26,5,1477958400
2016-12,12,2,1480550400
2017-01,12,1,1483228800
2017-02,6,2,1485907200
2017-03,4,1,1488326400
2017-04,4,2,1491004800
2017-06,4,2,1496275200
2017-08,6,3,1501545600
2017-09,2,1,1504224000
2017-10,4,2,1506816000
2017-11,8,4,1509494400
2017-12,6,3,1512086400
2018-01,18,2,1514764800
2018-02,6,2,1517443200
2018-03,8,2,1519862400
2018-04,4,1,1522540800
2018-05,2,1,1525132800
2018-06,4,2,1527811200
2018-07,8,3,1530403200
2018-08,4,1,1533081600
2018-09,2,1,1535760000
2018-10,4,1,1538352000
