YYYY-MM,nCommits,nAuthors,timestamp
2009-03,5,2,1235865600
2009-04,30,2,1238544000
2009-05,52,1,1241136000
2009-07,60,1,1246406400
2009-08,6,1,1249084800
2009-09,36,1,1251763200
2010-02,4,1,1264982400
2010-03,48,1,1267401600
2010-04,34,1,1270080000
2010-05,40,1,1272672000
2010-06,22,1,1275350400
2010-07,70,2,1277942400
2010-08,34,1,1280620800
2010-09,66,5,1283299200
2010-10,16,3,1285891200
2010-11,3,1,1288569600
2010-12,24,4,1291161600
2011-01,12,3,1293840000
2011-02,8,2,1296518400
2011-03,4,2,1298937600
2011-04,22,4,1301616000
2011-05,24,5,1304208000
2011-06,13,2,1306886400
2011-07,39,4,1309478400
2011-08,27,4,1312156800
2011-09,51,3,1314835200
2011-10,29,2,1317427200
2011-11,97,3,1320105600
2011-12,102,2,1322697600
2012-01,66,2,1325376000
2012-02,44,1,1328054400
2012-03,63,2,1330560000
2012-04,27,2,1333238400
2012-05,52,2,1335830400
2012-06,118,2,1338508800
2012-07,33,2,1341100800
2012-08,65,2,1343779200
2012-09,17,2,1346457600
2012-10,25,2,1349049600
2012-11,31,2,1351728000
2012-12,46,2,1354320000
2013-01,258,2,1356998400
2013-02,69,1,1359676800
2013-03,101,2,1362096000
2013-04,27,3,1364774400
2013-05,7,1,1367366400
2013-06,111,14,1370044800
2013-07,90,4,1372636800
2013-08,126,3,1375315200
2013-09,89,4,1377993600
2013-10,91,3,1380585600
2013-11,69,3,1383264000
2013-12,28,2,1385856000
2014-01,44,4,1388534400
2014-02,99,1,1391212800
2014-03,89,4,1393632000
2014-04,123,9,1396310400
2014-05,124,8,1398902400
2014-06,98,6,1401580800
2014-07,109,6,1404172800
2014-08,121,4,1406851200
2014-09,187,3,1409529600
2014-10,167,5,1412121600
2014-11,135,3,1414800000
2014-12,124,4,1417392000
2015-01,305,4,1420070400
2015-02,187,2,1422748800
2015-03,217,6,1425168000
2015-04,127,3,1427846400
2015-05,95,3,1430438400
2015-06,186,8,1433116800
2015-07,284,7,1435708800
2015-08,249,6,1438387200
2015-09,186,5,1441065600
2015-10,333,4,1443657600
2015-11,217,5,1446336000
2015-12,251,5,1448928000
2016-01,102,5,1451606400
2016-02,197,5,1454284800
2016-03,289,5,1456790400
2016-04,210,5,1459468800
2016-05,309,7,1462060800
2016-06,299,5,1464739200
2016-07,333,11,1467331200
2016-08,372,6,1470009600
2016-09,303,7,1472688000
2016-10,252,6,1475280000
2016-11,271,5,1477958400
2016-12,361,12,1480550400
2017-01,426,7,1483228800
2017-02,366,9,1485907200
2017-03,487,10,1488326400
2017-04,324,7,1491004800
2017-05,198,6,1493596800
2017-06,193,6,1496275200
2017-07,199,4,1498867200
2017-08,114,5,1501545600
2017-09,94,4,1504224000
2017-10,146,7,1506816000
2017-11,162,7,1509494400
2017-12,197,11,1512086400
2018-01,131,9,1514764800
2018-02,143,11,1517443200
2018-03,206,10,1519862400
2018-04,176,11,1522540800
2018-05,488,11,1525132800
2018-06,327,20,1527811200
2018-07,374,24,1530403200
2018-08,306,19,1533081600
2018-09,182,16,1535760000
2018-10,236,19,1538352000
2018-11,386,19,1541030400
2018-12,463,12,1543622400
2019-01,325,12,1546300800
2019-02,559,12,1548979200
2019-03,800,9,1551398400
2019-04,610,10,1554076800
2019-05,616,8,1556668800
2019-06,418,9,1559347200
2019-07,328,9,1561939200
2019-08,303,8,1564617600
2019-09,276,7,1567296000
2019-10,221,9,1569888000
2019-11,218,7,1572566400
2019-12,238,7,1575158400
2020-01,159,8,1577836800
2020-02,189,8,1580515200
2020-03,351,11,1583020800
2020-04,220,10,1585699200
2020-05,151,6,1588291200
2020-06,255,7,1590969600
2020-07,227,7,1593561600
2020-08,54,6,1596240000
