YYYY-MM,nCommits,nAuthors,timestamp
2015-11,4,2,1446336000
2015-12,2,1,1448928000
2016-02,2,1,1454284800
2016-04,2,1,1459468800
2016-05,2,1,1462060800
2016-07,2,1,1467331200
2016-08,32,15,1470009600
2016-09,33,16,1472688000
2016-10,14,7,1475280000
2016-11,18,9,1477958400
2016-12,38,19,1480550400
2017-01,52,25,1483228800
2017-02,26,13,1485907200
2017-03,22,11,1488326400
2017-04,34,17,1491004800
2017-05,29,15,1493596800
2017-06,32,14,1496275200
2017-07,18,9,1498867200
2017-08,63,31,1501545600
2017-09,109,54,1504224000
2017-10,231,112,1506816000
2017-11,150,74,1509494400
2017-12,164,80,1512086400
2018-01,121,60,1514764800
2018-02,130,63,1517443200
2018-03,104,53,1519862400
2018-04,133,67,1522540800
2018-05,137,69,1525132800
2018-06,118,58,1527811200
2018-07,150,73,1530403200
2018-08,201,95,1533081600
2018-09,169,84,1535760000
2018-10,124,63,1538352000
2018-11,105,52,1541030400
2018-12,96,48,1543622400
2019-01,97,50,1546300800
2019-02,95,48,1548979200
2019-03,124,62,1551398400
2019-04,116,58,1554076800
2019-05,134,67,1556668800
2019-06,90,47,1559347200
2019-07,103,51,1561939200
2019-08,132,63,1564617600
2019-09,120,63,1567296000
2019-10,87,44,1569888000
2019-11,74,37,1572566400
2019-12,100,51,1575158400
2020-01,287,144,1577836800
2020-02,206,103,1580515200
2020-03,902,454,1583020800
2020-04,928,463,1585699200
2020-05,694,346,1588291200
2020-06,269,134,1590969600
2020-07,168,84,1593561600
2020-08,193,96,1596240000
2020-09,62,31,1598918400
