YYYY-MM,nCommits,nAuthors,timestamp
2007-04,5,2,1175385600
2007-05,17,2,1177977600
2007-06,20,3,1180656000
2007-07,26,3,1183248000
2007-08,36,3,1185926400
2007-09,39,2,1188604800
2007-10,27,2,1191196800
2007-11,41,2,1193875200
2007-12,47,2,1196467200
2008-01,63,5,1199145600
2008-02,77,5,1201824000
2008-03,37,3,1204329600
2008-04,50,3,1207008000
2008-05,63,2,1209600000
2008-06,65,3,1212278400
2008-07,84,2,1214870400
2008-08,72,3,1217548800
2008-09,41,3,1220227200
2008-10,74,4,1222819200
2008-11,61,4,1225497600
2008-12,61,4,1228089600
2009-01,64,4,1230768000
2009-02,16,3,1233446400
2009-03,46,4,1235865600
2009-04,41,4,1238544000
2009-05,98,3,1241136000
2009-06,146,6,1243814400
2009-07,144,7,1246406400
2009-08,42,4,1249084800
2009-09,72,5,1251763200
2009-10,83,5,1254355200
2009-11,60,3,1257033600
2009-12,65,3,1259625600
2010-01,62,5,1262304000
2010-02,58,5,1264982400
2010-03,85,5,1267401600
2010-04,60,4,1270080000
2010-05,103,7,1272672000
2010-06,101,6,1275350400
2010-07,69,6,1277942400
2010-08,32,5,1280620800
2010-09,115,6,1283299200
2010-10,144,6,1285891200
2010-11,146,5,1288569600
2010-12,107,8,1291161600
2011-01,44,9,1293840000
2011-02,64,9,1296518400
2011-03,135,8,1298937600
2011-04,136,6,1301616000
2011-05,96,6,1304208000
2011-06,99,7,1306886400
2011-07,95,5,1309478400
2011-08,155,8,1312156800
2011-09,166,9,1314835200
2011-10,142,13,1317427200
2011-11,184,13,1320105600
2011-12,154,10,1322697600
2012-01,99,10,1325376000
2012-02,112,8,1328054400
2012-03,127,9,1330560000
2012-04,160,10,1333238400
2012-05,159,12,1335830400
2012-06,97,8,1338508800
2012-07,95,11,1341100800
2012-08,142,10,1343779200
2012-09,141,12,1346457600
2012-10,114,13,1349049600
2012-11,113,11,1351728000
2012-12,128,15,1354320000
2013-01,172,14,1356998400
2013-02,201,15,1359676800
2013-03,180,17,1362096000
2013-04,200,19,1364774400
2013-05,156,16,1367366400
2013-06,85,18,1370044800
2013-07,223,17,1372636800
2013-08,226,16,1375315200
2013-09,209,21,1377993600
2013-10,130,19,1380585600
2013-11,141,18,1383264000
2013-12,150,20,1385856000
2014-01,120,17,1388534400
2014-02,145,19,1391212800
2014-03,158,18,1393632000
2014-04,131,19,1396310400
2014-05,133,24,1398902400
2014-06,123,18,1401580800
2014-07,145,17,1404172800
2014-08,171,21,1406851200
2014-09,191,21,1409529600
2014-10,211,26,1412121600
2014-11,127,22,1414800000
2014-12,184,31,1417392000
2015-01,114,23,1420070400
2015-02,130,27,1422748800
2015-03,198,34,1425168000
2015-04,154,33,1427846400
2015-05,138,33,1430438400
2015-06,132,28,1433116800
2015-07,102,23,1435708800
2015-08,107,23,1438387200
2015-09,131,25,1441065600
2015-10,208,26,1443657600
2015-11,129,26,1446336000
2015-12,133,24,1448928000
2016-01,88,22,1451606400
2016-02,113,24,1454284800
2016-03,122,26,1456790400
2016-04,95,29,1459468800
2016-05,131,32,1462060800
2016-06,138,27,1464739200
2016-07,96,23,1467331200
2016-08,116,26,1470009600
2016-09,139,26,1472688000
2016-10,159,28,1475280000
