YYYY-MM,nCommits,nAuthors,timestamp
2013-12,18,1,1385856000
2014-01,109,2,1388534400
2014-02,93,1,1391212800
2014-03,52,2,1393632000
2014-04,11,1,1396310400
2014-05,38,1,1398902400
2014-06,29,3,1401580800
2014-07,44,6,1404172800
2014-08,3,1,1406851200
2014-09,10,2,1409529600
2014-10,34,6,1412121600
2014-11,81,6,1414800000
2014-12,42,6,1417392000
2015-01,54,6,1420070400
2015-02,22,3,1422748800
2015-03,27,5,1425168000
2015-04,70,10,1427846400
2015-05,79,8,1430438400
2015-06,12,3,1433116800
2015-07,15,4,1435708800
2015-08,31,3,1438387200
2015-09,28,4,1441065600
2015-10,22,3,1443657600
2015-11,21,4,1446336000
2015-12,18,5,1448928000
2016-01,33,2,1451606400
2016-02,41,2,1454284800
2016-03,91,5,1456790400
2016-04,32,5,1459468800
2016-05,61,3,1462060800
2016-06,232,5,1464739200
2016-07,104,5,1467331200
2016-08,86,3,1470009600
2016-09,34,3,1472688000
2016-10,96,5,1475280000
2016-11,61,4,1477958400
2016-12,92,5,1480550400
2017-01,157,6,1483228800
2017-02,178,7,1485907200
2017-03,246,5,1488326400
2017-04,149,11,1491004800
2017-05,222,4,1493596800
2017-06,179,5,1496275200
2017-07,152,8,1498867200
2017-08,202,5,1501545600
2017-09,198,7,1504224000
2017-10,227,4,1506816000
2017-11,171,5,1509494400
2017-12,233,4,1512086400
2018-01,177,6,1514764800
2018-02,214,6,1517443200
2018-03,140,6,1519862400
2018-04,87,5,1522540800
2018-05,86,6,1525132800
2018-06,194,10,1527811200
2018-07,151,7,1530403200
2018-08,107,8,1533081600
2018-09,211,7,1535760000
2018-10,191,9,1538352000
2018-11,135,5,1541030400
2018-12,62,5,1543622400
2019-01,47,8,1546300800
2019-02,75,8,1548979200
2019-03,123,4,1551398400
2019-04,40,6,1554076800
2019-05,69,5,1556668800
2019-06,34,6,1559347200
2019-07,12,5,1561939200
