YYYY-MM,nCommits,nAuthors,timestamp
2010-06,18,2,1275350400
2010-08,7,1,1280620800
2010-09,67,1,1283299200
2010-10,25,1,1285891200
2010-11,23,3,1288569600
2010-12,61,2,1291161600
2011-01,39,3,1293840000
2011-02,14,3,1296518400
2011-03,32,2,1298937600
2011-04,7,1,1301616000
2011-05,25,2,1304208000
2011-06,66,2,1306886400
2011-08,8,4,1312156800
2011-09,50,4,1314835200
2011-10,13,2,1317427200
2011-11,2,1,1320105600
2011-12,22,3,1322697600
2012-01,4,2,1325376000
2012-02,28,3,1328054400
2012-03,15,2,1330560000
2012-04,21,2,1333238400
2012-05,13,3,1335830400
2012-06,10,2,1338508800
2012-07,4,1,1341100800
2012-08,10,3,1343779200
2012-09,21,3,1346457600
2012-10,27,3,1349049600
2012-11,42,5,1351728000
2012-12,10,3,1354320000
2013-01,20,4,1356998400
2013-02,6,3,1359676800
2013-03,24,3,1362096000
2013-04,3,3,1364774400
2013-05,52,5,1367366400
2013-06,3,2,1370044800
2013-07,3,1,1372636800
2013-08,2,1,1375315200
2013-09,7,3,1377993600
2013-10,17,3,1380585600
2013-11,26,4,1383264000
2013-12,3,1,1385856000
2014-01,22,2,1388534400
2014-02,36,5,1391212800
2014-03,21,5,1393632000
2014-04,12,4,1396310400
2014-05,25,3,1398902400
2014-06,16,3,1401580800
2014-07,6,1,1404172800
2014-08,7,3,1406851200
2014-09,3,2,1409529600
2014-10,18,4,1412121600
2014-11,51,4,1414800000
2014-12,16,2,1417392000
2015-01,7,2,1420070400
2015-02,13,4,1422748800
2015-03,2,1,1425168000
2015-05,15,2,1430438400
2015-06,76,4,1433116800
2015-07,22,2,1435708800
2015-08,25,2,1438387200
2015-09,13,2,1441065600
2015-10,7,1,1443657600
2015-11,41,2,1446336000
2015-12,48,2,1448928000
2016-02,28,3,1454284800
2016-03,79,3,1456790400
2016-04,12,1,1459468800
2016-05,7,1,1462060800
2016-06,21,3,1464739200
2016-07,4,2,1467331200
2016-08,22,2,1470009600
2016-09,94,3,1472688000
2016-10,40,2,1475280000
2016-11,60,4,1477958400
2016-12,73,7,1480550400
2017-01,55,8,1483228800
2017-02,121,5,1485907200
2017-03,73,8,1488326400
2017-04,95,5,1491004800
2017-05,24,2,1493596800
2017-06,19,6,1496275200
2017-07,10,3,1498867200
2017-08,53,4,1501545600
2017-09,151,12,1504224000
2017-10,56,6,1506816000
2017-11,73,9,1509494400
2017-12,114,9,1512086400
2018-01,126,9,1514764800
2018-02,157,15,1517443200
2018-03,165,9,1519862400
2018-04,201,9,1522540800
2018-05,155,10,1525132800
2018-06,157,11,1527811200
2018-07,119,9,1530403200
2018-08,111,10,1533081600
2018-09,190,16,1535760000
2018-10,198,17,1538352000
2018-11,239,17,1541030400
2018-12,248,21,1543622400
2019-01,185,19,1546300800
2019-02,107,18,1548979200
2019-03,237,23,1551398400
2019-04,202,26,1554076800
2019-05,354,34,1556668800
2019-06,324,27,1559347200
2019-07,78,13,1561939200
2019-08,104,12,1564617600
2019-09,153,13,1567296000
2019-10,202,16,1569888000
2019-11,174,20,1572566400
2019-12,193,16,1575158400
2020-01,129,18,1577836800
2020-02,152,18,1580515200
2020-03,200,22,1583020800
2020-04,108,13,1585699200
2020-05,234,17,1588291200
2020-06,212,22,1590969600
2020-07,220,15,1593561600
2020-08,177,19,1596240000
2020-09,19,5,1598918400
