YYYY-MM,nCommits,nAuthors,timestamp
2000-06,3,2,959817600
2000-07,83,9,962409600
2000-08,38,6,965088000
2000-09,373,6,967766400
2000-10,409,7,970358400
2000-11,538,8,973036800
2000-12,247,7,975628800
2001-01,638,7,978307200
2001-02,1038,7,980985600
2001-03,621,7,983404800
2001-04,609,6,986083200
2001-05,488,7,988675200
2001-06,392,12,991353600
2001-07,395,15,993945600
2001-08,382,16,996624000
2001-09,590,15,999302400
2001-10,360,10,1001894400
2001-11,653,17,1004572800
2001-12,639,16,1007164800
2002-01,814,21,1009843200
2002-02,681,20,1012521600
2002-03,570,16,1014940800
2002-04,521,15,1017619200
2002-05,802,18,1020211200
2002-06,393,22,1022889600
2002-07,736,23,1025481600
2002-08,915,21,1028160000
2002-09,865,27,1030838400
2002-10,809,25,1033430400
2002-11,838,25,1036108800
2002-12,509,20,1038700800
2003-01,809,28,1041379200
2003-02,1082,30,1044057600
2003-03,758,27,1046476800
2003-04,192,26,1049155200
2003-05,296,21,1051747200
2003-06,264,26,1054425600
2003-07,496,27,1057017600
2003-08,502,27,1059696000
2003-09,344,27,1062374400
2003-10,350,23,1064966400
2003-11,447,23,1067644800
2003-12,419,26,1070236800
2004-01,700,28,1072915200
2004-02,312,30,1075593600
2004-03,165,24,1078099200
2004-04,139,22,1080777600
2004-05,278,29,1083369600
2004-06,316,26,1086048000
2004-07,922,39,1088640000
2004-08,628,43,1091318400
2004-09,655,38,1093996800
2004-10,540,33,1096588800
2004-11,370,28,1099267200
2004-12,231,20,1101859200
2005-01,372,30,1104537600
2005-02,539,36,1107216000
2005-03,381,28,1109635200
2005-04,648,32,1112313600
2005-05,783,37,1114905600
2005-06,522,36,1117584000
2005-07,503,35,1120176000
2005-08,428,31,1122854400
2005-09,418,37,1125532800
2005-10,379,32,1128124800
2005-11,339,31,1130803200
2005-12,344,35,1133395200
2006-01,297,34,1136073600
2006-02,695,39,1138752000
2006-03,401,39,1141171200
2006-04,529,34,1143849600
2006-05,349,36,1146441600
2006-06,467,42,1149120000
2006-07,584,31,1151712000
2006-08,331,29,1154390400
2006-09,481,34,1157068800
2006-10,407,33,1159660800
2006-11,437,30,1162339200
2006-12,368,31,1164931200
2007-01,332,28,1167609600
2007-02,279,33,1170288000
2007-03,217,28,1172707200
2007-04,224,30,1175385600
2007-05,436,36,1177977600
2007-06,350,36,1180656000
2007-07,223,29,1183248000
2007-08,317,26,1185926400
2007-09,331,32,1188604800
2007-10,725,38,1191196800
2007-11,678,47,1193875200
2007-12,526,37,1196467200
2008-01,476,31,1199145600
2008-02,287,24,1201824000
2008-03,316,26,1204329600
2008-04,733,29,1207008000
2008-05,493,30,1209600000
2008-06,501,31,1212278400
2008-07,675,39,1214870400
2008-08,288,30,1217548800
2008-09,305,28,1220227200
2008-10,299,30,1222819200
2008-11,308,30,1225497600
2008-12,196,24,1228089600
2009-01,223,29,1230768000
2009-02,215,24,1233446400
2009-03,254,22,1235865600
2009-04,401,28,1238544000
2009-05,226,21,1241136000
