YYYY-MM,nCommits,nAuthors,timestamp
2015-01,1,1,1420070400
2015-02,1,1,1422748800
2015-03,7,4,1425168000
2015-04,57,7,1427846400
2015-05,64,13,1430438400
2015-06,51,6,1433116800
2015-07,62,7,1435708800
2015-08,74,15,1438387200
2015-09,179,20,1441065600
2015-10,122,21,1443657600
2015-11,142,29,1446336000
2015-12,79,16,1448928000
2016-01,92,17,1451606400
2016-02,35,7,1454284800
2016-03,74,12,1456790400
2016-04,114,18,1459468800
2016-05,65,11,1462060800
2016-06,27,11,1464739200
2016-07,47,11,1467331200
2016-08,37,11,1470009600
2016-09,37,11,1472688000
2016-10,23,9,1475280000
2016-11,28,12,1477958400
2016-12,8,5,1480550400
2017-01,42,11,1483228800
2017-02,45,16,1485907200
2017-03,84,18,1488326400
2017-04,53,15,1491004800
2017-05,202,18,1493596800
2017-06,227,19,1496275200
2017-07,146,9,1498867200
2017-08,158,11,1501545600
2017-09,100,10,1504224000
2017-10,167,21,1506816000
2017-11,299,21,1509494400
2017-12,207,22,1512086400
2018-01,164,15,1514764800
2018-02,194,18,1517443200
2018-03,210,26,1519862400
2018-04,138,29,1522540800
2018-05,168,23,1525132800
2018-06,128,18,1527811200
2018-07,128,18,1530403200
2018-08,143,20,1533081600
2018-09,133,25,1535760000
2018-10,145,15,1538352000
2018-11,71,14,1541030400
2018-12,43,14,1543622400
2019-01,38,11,1546300800
2019-02,81,14,1548979200
2019-03,107,14,1551398400
2019-04,84,11,1554076800
2019-05,157,17,1556668800
2019-06,30,11,1559347200
2019-07,23,11,1561939200
2019-08,4,4,1564617600
