YYYY-MM,nCommits,nAuthors,timestamp
2009-12,7,1,1259625600
2010-05,1,1,1272672000
2010-07,12,1,1277942400
2010-09,1,1,1283299200
2010-10,8,1,1285891200
2011-03,2,1,1298937600
2011-04,4,1,1301616000
2011-05,7,2,1304208000
2011-07,14,3,1309478400
2011-08,1,1,1312156800
2011-09,55,1,1314835200
2011-10,52,5,1317427200
2011-11,8,3,1320105600
2011-12,55,9,1322697600
2012-01,96,9,1325376000
2012-02,16,3,1328054400
2012-03,34,9,1330560000
2012-04,7,5,1333238400
2012-05,8,4,1335830400
2012-06,33,4,1338508800
2012-07,49,5,1341100800
2012-08,13,4,1343779200
2012-09,25,8,1346457600
2012-10,22,9,1349049600
2012-11,30,11,1351728000
2012-12,69,14,1354320000
2013-01,77,9,1356998400
2013-02,39,11,1359676800
2013-03,60,9,1362096000
2013-04,37,7,1364774400
2013-05,22,8,1367366400
2013-06,38,7,1370044800
2013-07,49,15,1372636800
2013-08,100,11,1375315200
2013-09,35,5,1377993600
2013-10,96,8,1380585600
2013-11,42,8,1383264000
2013-12,33,8,1385856000
2014-01,62,13,1388534400
2014-02,45,9,1391212800
2014-03,47,13,1393632000
2014-04,57,9,1396310400
2014-05,59,10,1398902400
2014-06,131,12,1401580800
2014-07,69,7,1404172800
2014-08,54,5,1406851200
2014-09,47,13,1409529600
2014-10,66,11,1412121600
2014-11,45,9,1414800000
2014-12,17,6,1417392000
2015-01,20,8,1420070400
2015-02,70,9,1422748800
2015-03,45,10,1425168000
2015-04,91,14,1427846400
2015-05,101,12,1430438400
2015-06,67,12,1433116800
2015-07,45,8,1435708800
2015-08,13,7,1438387200
2015-09,28,7,1441065600
2015-10,32,11,1443657600
2015-11,36,8,1446336000
2015-12,73,7,1448928000
2016-01,82,13,1451606400
2016-02,30,6,1454284800
2016-03,42,11,1456790400
2016-04,74,10,1459468800
2016-05,50,17,1462060800
2016-06,85,14,1464739200
2016-07,72,20,1467331200
2016-08,37,12,1470009600
2016-09,93,13,1472688000
2016-10,170,17,1475280000
2016-11,158,17,1477958400
2016-12,115,12,1480550400
2017-01,217,11,1483228800
2017-02,34,8,1485907200
2017-03,51,10,1488326400
2017-04,92,12,1491004800
2017-05,77,21,1493596800
2017-06,115,23,1496275200
2017-07,30,12,1498867200
2017-08,40,11,1501545600
2017-09,20,5,1504224000
2017-10,10,6,1506816000
2017-11,11,5,1509494400
2017-12,20,8,1512086400
2018-01,58,9,1514764800
2018-02,42,11,1517443200
2018-03,122,21,1519862400
2018-04,126,20,1522540800
2018-05,20,7,1525132800
2018-06,27,14,1527811200
2018-07,15,9,1530403200
2018-08,37,7,1533081600
2018-09,38,9,1535760000
2018-10,33,12,1538352000
2018-11,11,6,1541030400
