YYYY-MM,nCommits,nAuthors,timestamp
2002-03,7,2,1014940800
2002-04,4,2,1017619200
2002-05,8,2,1020211200
2002-06,2,1,1022889600
2002-07,9,2,1025481600
2002-08,1,1,1028160000
2002-11,1,1,1036108800
2002-12,1,1,1038700800
2003-01,2,1,1041379200
2003-02,15,3,1044057600
2003-03,51,6,1046476800
2003-04,23,4,1049155200
2003-05,33,2,1051747200
2003-06,29,4,1054425600
2003-07,42,6,1057017600
2003-08,24,6,1059696000
2003-09,53,4,1062374400
2003-10,18,5,1064966400
2003-11,11,4,1067644800
2003-12,51,6,1070236800
2004-01,461,5,1072915200
2004-02,686,6,1075593600
2004-03,733,8,1078099200
2004-04,688,8,1080777600
2004-05,712,8,1083369600
2004-06,729,9,1086048000
2004-07,764,5,1088640000
2004-08,780,7,1091318400
2004-09,743,6,1093996800
2004-10,746,5,1096588800
2004-11,717,5,1099267200
2004-12,787,6,1101859200
2005-01,604,3,1104537600
2005-02,77,6,1107216000
2005-03,63,5,1109635200
2005-04,127,5,1112313600
2005-05,77,5,1114905600
2005-06,43,4,1117584000
2005-07,69,5,1120176000
2005-08,56,5,1122854400
2005-09,76,4,1125532800
2005-10,58,3,1128124800
2005-11,84,3,1130803200
2005-12,46,3,1133395200
2006-01,75,3,1136073600
2006-02,50,3,1138752000
2006-03,83,3,1141171200
2006-04,29,1,1143849600
2006-05,123,9,1146441600
2006-06,75,3,1149120000
2006-07,60,4,1151712000
2006-08,24,3,1154390400
2006-09,3,1,1157068800
2006-10,13,4,1159660800
2006-11,41,4,1162339200
2006-12,8,2,1164931200
2007-01,16,3,1167609600
2007-02,11,2,1170288000
2007-03,5,2,1172707200
2007-04,3,2,1175385600
2007-05,2,1,1177977600
2007-08,44,1,1185926400
2007-09,1,1,1188604800
2007-10,3,1,1191196800
2007-11,33,1,1193875200
2007-12,1,1,1196467200
2008-01,89,1,1199145600
2008-02,29,1,1201824000
2008-03,135,1,1204329600
2008-04,74,1,1207008000
2008-05,5,1,1209600000
2008-06,46,1,1212278400
2008-07,37,1,1214870400
2008-08,41,1,1217548800
2008-09,53,1,1220227200
2008-10,20,1,1222819200
2008-12,60,1,1228089600
2009-01,1,1,1230768000
2009-02,11,1,1233446400
2009-03,2,1,1235865600
2009-04,8,2,1238544000
2009-05,25,2,1241136000
2009-07,9,1,1246406400
2009-08,16,1,1249084800
2009-09,2,1,1251763200
2009-10,20,2,1254355200
2009-12,1,1,1259625600
2010-05,1,1,1272672000
2010-07,1,1,1277942400
2010-08,24,3,1280620800
2010-09,12,2,1283299200
2010-10,8,2,1285891200
2010-12,19,3,1291161600
2011-01,7,3,1293840000
2011-05,1,1,1304208000
2011-07,1,1,1309478400
2011-08,2,1,1312156800
2011-09,31,2,1314835200
2011-10,43,2,1317427200
2012-01,1,1,1325376000
2012-04,7,1,1333238400
2012-06,5,1,1338508800
2012-08,5,1,1343779200
2013-01,2,1,1356998400
2013-02,1,1,1359676800
2013-03,1,1,1362096000
2013-04,6,2,1364774400
2014-03,2,2,1393632000
2014-09,6,1,1409529600
2014-10,1,1,1412121600
2014-11,5,2,1414800000
2014-12,12,1,1417392000
2015-01,12,2,1420070400
2015-02,10,1,1422748800
2015-03,1,1,1425168000
2015-04,9,2,1427846400
2015-05,2,1,1430438400
2015-10,2,1,1443657600
2016-01,3,1,1451606400
2016-04,1,1,1459468800
2016-08,3,2,1470009600
2016-09,3,1,1472688000
2016-11,1,1,1477958400
2016-12,2,1,1480550400
2017-02,2,1,1485907200
2017-07,10,1,1498867200
2017-09,2,1,1504224000
2018-03,1,1,1519862400
2018-05,3,1,1525132800
2018-09,2,1,1535760000
2019-02,39,3,1548979200
2019-04,7,1,1554076800
2019-05,11,2,1556668800
2019-07,3,2,1561939200
2019-08,4,1,1564617600
2019-09,6,1,1567296000
2019-10,5,1,1569888000
2020-03,14,2,1583020800
2020-04,8,2,1585699200
2020-08,15,2,1596240000
