YYYY-MM,nCommits,nAuthors,timestamp
2005-01,79,1,1104537600
2005-02,52,2,1107216000
2005-03,50,2,1109635200
2005-04,89,6,1112313600
2005-05,104,14,1114905600
2005-06,99,22,1117584000
2005-07,51,15,1120176000
2005-08,65,15,1122854400
2005-09,95,19,1125532800
2005-10,62,10,1128124800
2005-11,53,11,1130803200
2005-12,13,4,1133395200
2006-01,75,14,1136073600
2006-02,65,12,1138752000
2006-03,119,19,1141171200
2006-04,57,11,1143849600
2006-05,62,7,1146441600
2006-06,50,11,1149120000
2006-07,55,9,1151712000
2006-08,58,9,1154390400
2006-09,71,7,1157068800
2006-10,52,9,1159660800
2006-11,52,10,1162339200
2006-12,20,5,1164931200
2007-01,34,9,1167609600
2007-02,51,13,1170288000
2007-03,33,6,1172707200
2007-04,20,7,1175385600
2007-05,48,10,1177977600
2007-06,46,6,1180656000
2007-07,32,2,1183248000
2007-08,43,7,1185926400
2007-09,23,6,1188604800
2007-10,25,8,1191196800
2007-11,15,2,1193875200
2007-12,13,4,1196467200
2008-01,43,8,1199145600
2008-02,58,10,1201824000
2008-03,79,7,1204329600
2008-04,30,8,1207008000
2008-05,38,4,1209600000
2008-06,33,3,1212278400
2008-07,28,12,1214870400
2008-08,47,12,1217548800
2008-09,23,13,1220227200
2008-10,108,28,1222819200
2008-11,15,11,1225497600
2008-12,35,12,1228089600
2009-01,103,34,1230768000
2009-02,58,23,1233446400
2009-03,29,11,1235865600
2009-04,28,18,1238544000
2009-05,70,33,1241136000
2009-06,25,14,1243814400
2009-07,29,11,1246406400
2009-08,38,8,1249084800
2009-09,31,15,1251763200
2009-10,60,23,1254355200
2009-11,102,20,1257033600
2009-12,48,22,1259625600
2010-01,47,13,1262304000
2010-02,67,27,1264982400
2010-03,71,20,1267401600
2010-04,38,15,1270080000
2010-05,14,6,1272672000
2010-06,79,14,1275350400
2010-07,24,16,1277942400
2010-08,30,10,1280620800
2010-09,46,10,1283299200
2010-10,142,37,1285891200
2010-11,99,18,1288569600
2010-12,48,17,1291161600
2011-01,102,23,1293840000
2011-02,111,24,1296518400
2011-03,58,16,1298937600
2011-04,104,27,1301616000
2011-05,55,20,1304208000
2011-06,90,16,1306886400
2011-07,82,19,1309478400
2011-08,90,16,1312156800
2011-09,92,20,1314835200
2011-10,85,19,1317427200
2011-11,106,26,1320105600
2011-12,36,17,1322697600
2012-01,141,17,1325376000
2012-02,55,14,1328054400
2012-03,80,15,1330560000
2012-04,177,20,1333238400
2012-05,49,12,1335830400
2012-06,114,20,1338508800
2012-07,129,16,1341100800
2012-08,62,11,1343779200
2012-09,75,20,1346457600
2012-10,63,15,1349049600
2012-11,96,18,1351728000
2012-12,28,9,1354320000
2013-01,140,24,1356998400
2013-02,183,17,1359676800
2013-03,88,22,1362096000
2013-04,73,22,1364774400
2013-05,61,15,1367366400
2013-06,56,13,1370044800
2013-07,93,14,1372636800
2013-08,383,44,1375315200
2013-09,95,26,1377993600
2013-10,277,31,1380585600
2013-11,160,42,1383264000
2013-12,77,25,1385856000
2014-01,148,38,1388534400
2014-02,264,30,1391212800
2014-03,185,32,1393632000
2014-04,56,25,1396310400
2014-05,153,32,1398902400
2014-06,36,16,1401580800
2014-07,81,20,1404172800
2014-08,40,16,1406851200
2014-09,77,20,1409529600
2014-10,62,22,1412121600
2014-11,21,10,1414800000
2014-12,113,26,1417392000
2015-01,54,17,1420070400
2015-02,60,20,1422748800
2015-03,59,21,1425168000
2015-04,51,19,1427846400
2015-05,162,30,1430438400
2015-06,65,21,1433116800
2015-07,150,29,1435708800
2015-08,104,29,1438387200
2015-09,56,17,1441065600
2015-10,21,11,1443657600
2015-11,55,20,1446336000
2015-12,71,39,1448928000
2016-01,38,8,1451606400
2016-02,218,11,1454284800
2016-03,212,16,1456790400
2016-04,118,14,1459468800
2016-05,79,18,1462060800
2016-06,68,25,1464739200
2016-07,147,15,1467331200
2016-08,161,17,1470009600
2016-09,29,15,1472688000
2016-10,74,20,1475280000
2016-11,175,15,1477958400
2016-12,77,17,1480550400
2017-01,75,16,1483228800
2017-02,145,37,1485907200
2017-03,127,28,1488326400
2017-04,74,36,1491004800
2017-05,101,26,1493596800
2017-06,67,23,1496275200
2017-07,45,11,1498867200
2017-08,128,23,1501545600
2017-09,84,21,1504224000
2017-10,33,16,1506816000
2017-11,30,13,1509494400
2017-12,81,37,1512086400
2018-01,99,37,1514764800
2018-02,38,25,1517443200
2018-03,122,23,1519862400
2018-04,131,29,1522540800
2018-05,131,22,1525132800
2018-06,78,17,1527811200
2018-07,43,12,1530403200
2018-08,66,21,1533081600
2018-09,56,20,1535760000
2018-10,101,47,1538352000
2018-11,126,39,1541030400
2018-12,70,33,1543622400
2019-01,122,38,1546300800
2019-02,85,29,1548979200
2019-03,67,18,1551398400
2019-04,94,52,1554076800
2019-05,82,43,1556668800
2019-06,51,20,1559347200
2019-07,30,14,1561939200
2019-08,30,13,1564617600
2019-09,40,20,1567296000
2019-10,87,19,1569888000
2019-11,28,13,1572566400
2019-12,52,9,1575158400
2020-01,98,21,1577836800
2020-02,53,17,1580515200
2020-03,100,33,1583020800
2020-04,62,15,1585699200
2020-05,125,28,1588291200
2020-06,104,27,1590969600
2020-07,93,19,1593561600
2020-08,89,32,1596240000
2020-09,14,8,1598918400
