YYYY-MM,nCommits,nAuthors,timestamp
2015-01,119,3,1420070400
2015-02,95,6,1422748800
2015-03,94,13,1425168000
2015-04,99,14,1427846400
2015-05,42,6,1430438400
2015-06,85,13,1433116800
2015-07,80,15,1435708800
2015-08,49,15,1438387200
2015-09,57,12,1441065600
2015-10,26,8,1443657600
2015-11,29,12,1446336000
2015-12,18,5,1448928000
2016-01,21,5,1451606400
2016-02,66,6,1454284800
2016-03,50,12,1456790400
2016-04,36,5,1459468800
2016-05,24,4,1462060800
2016-06,16,5,1464739200
2016-07,47,6,1467331200
2016-08,29,4,1470009600
2016-09,31,5,1472688000
2016-10,22,3,1475280000
2016-11,18,6,1477958400
2016-12,5,5,1480550400
2017-01,53,11,1483228800
2017-02,27,6,1485907200
2017-03,62,7,1488326400
2017-04,70,12,1491004800
2017-05,52,17,1493596800
2017-06,22,9,1496275200
2017-07,22,7,1498867200
2017-08,18,11,1501545600
2017-09,14,4,1504224000
2017-10,4,3,1506816000
2017-11,16,7,1509494400
2017-12,14,7,1512086400
2018-01,6,4,1514764800
2018-02,38,9,1517443200
2018-03,29,10,1519862400
2018-04,10,6,1522540800
2018-05,50,4,1525132800
2018-06,4,3,1527811200
2018-07,6,4,1530403200
2018-08,38,8,1533081600
2018-09,15,5,1535760000
2018-10,13,7,1538352000
2018-11,17,9,1541030400
2018-12,7,5,1543622400
2019-01,19,10,1546300800
2019-02,9,3,1548979200
2019-03,16,8,1551398400
2019-04,21,9,1554076800
2019-05,10,4,1556668800
2019-06,23,15,1559347200
2019-07,76,4,1561939200
2019-08,106,9,1564617600
2019-09,55,11,1567296000
2019-10,24,12,1569888000
2019-11,7,4,1572566400
2019-12,15,5,1575158400
2020-01,1,1,1577836800
2020-02,7,2,1580515200
2020-03,21,4,1583020800
2020-04,8,5,1585699200
2020-05,11,4,1588291200
2020-06,4,2,1590969600
2020-07,4,2,1593561600
2020-08,14,11,1596240000
2020-09,3,2,1598918400
