YYYY-MM,nCommits,nAuthors,timestamp
2015-09,84,3,1441065600
2015-10,58,2,1443657600
2015-11,85,5,1446336000
2015-12,23,3,1448928000
2016-01,13,4,1451606400
2016-02,121,5,1454284800
2016-03,59,12,1456790400
2016-04,49,9,1459468800
2016-05,31,4,1462060800
2016-06,49,9,1464739200
2016-07,26,4,1467331200
2016-08,50,9,1470009600
2016-09,97,11,1472688000
2016-10,102,11,1475280000
2016-11,134,13,1477958400
2016-12,94,11,1480550400
2017-01,85,15,1483228800
2017-02,145,11,1485907200
2017-03,90,12,1488326400
2017-04,124,20,1491004800
2017-05,143,20,1493596800
2017-06,145,27,1496275200
2017-07,99,24,1498867200
2017-08,67,24,1501545600
2017-09,43,11,1504224000
2017-10,101,27,1506816000
2017-11,134,31,1509494400
2017-12,132,23,1512086400
2018-01,76,21,1514764800
2018-02,127,28,1517443200
2018-03,177,43,1519862400
2018-04,75,23,1522540800
2018-05,82,17,1525132800
2018-06,51,15,1527811200
2018-07,54,19,1530403200
2018-08,167,28,1533081600
2018-09,90,12,1535760000
2018-10,84,25,1538352000
2018-11,72,25,1541030400
2018-12,20,8,1543622400
2019-01,24,8,1546300800
2019-02,40,14,1548979200
2019-03,58,10,1551398400
2019-04,26,18,1554076800
2019-05,30,10,1556668800
2019-06,79,17,1559347200
2019-07,22,8,1561939200
2019-08,16,13,1564617600
2019-09,12,3,1567296000
2019-10,72,14,1569888000
2019-11,223,18,1572566400
2019-12,149,15,1575158400
2020-01,52,13,1577836800
2020-02,17,6,1580515200
2020-03,83,12,1583020800
2020-04,9,5,1585699200
2020-05,21,10,1588291200
2020-06,32,6,1590969600
2020-07,72,10,1593561600
2020-08,26,12,1596240000
2020-09,56,10,1598918400
