YYYY-MM,nCommits,nAuthors,timestamp
2009-10,17,3,1254355200
2009-11,64,3,1257033600
2009-12,1,1,1259625600
2010-01,1,1,1262304000
2010-02,6,5,1264982400
2010-03,8,2,1267401600
2010-04,18,4,1270080000
2010-05,47,5,1272672000
2010-06,56,8,1275350400
2010-07,49,6,1277942400
2010-08,31,6,1280620800
2010-09,36,4,1283299200
2010-10,64,6,1285891200
2010-11,32,5,1288569600
2010-12,23,3,1291161600
2011-01,25,2,1293840000
2011-02,40,8,1296518400
2011-03,94,7,1298937600
2011-04,81,9,1301616000
2011-05,61,6,1304208000
2011-06,13,5,1306886400
2011-07,49,6,1309478400
2011-08,92,14,1312156800
2011-09,34,6,1314835200
2011-10,82,8,1317427200
2011-11,14,6,1320105600
2011-12,3,2,1322697600
2012-01,21,4,1325376000
2012-02,33,7,1328054400
2012-03,49,6,1330560000
2012-04,8,1,1333238400
2012-05,60,4,1335830400
2012-06,31,6,1338508800
2012-07,58,2,1341100800
2012-08,37,2,1343779200
2012-09,18,4,1346457600
2012-10,69,8,1349049600
2012-11,11,4,1351728000
2013-01,20,4,1356998400
2013-02,2,1,1359676800
2013-03,52,10,1362096000
2013-04,8,2,1364774400
2013-05,2,2,1367366400
2013-06,2,1,1370044800
2013-07,4,2,1372636800
2013-08,6,3,1375315200
2013-09,29,6,1377993600
2013-10,11,3,1380585600
2013-11,1,1,1383264000
2014-02,1,1,1391212800
2014-03,2,1,1393632000
2014-04,1,1,1396310400
2014-05,1,1,1398902400
2014-06,7,3,1401580800
2014-09,15,3,1409529600
2014-10,9,6,1412121600
2014-11,6,3,1414800000
2014-12,29,5,1417392000
2015-01,25,4,1420070400
2015-02,8,5,1422748800
2015-03,22,7,1425168000
2015-04,54,8,1427846400
2015-05,95,6,1430438400
2015-06,41,5,1433116800
2015-07,19,4,1435708800
2015-08,7,2,1438387200
2015-09,1,1,1441065600
2015-10,29,9,1443657600
2015-11,68,11,1446336000
2015-12,119,7,1448928000
2016-01,12,3,1451606400
2016-02,22,3,1454284800
2016-03,8,6,1456790400
2016-04,48,12,1459468800
2016-05,161,21,1462060800
2016-06,41,9,1464739200
2016-07,86,15,1467331200
2016-08,42,13,1470009600
2016-09,19,7,1472688000
2016-10,33,7,1475280000
2016-11,28,10,1477958400
2016-12,36,12,1480550400
2017-01,21,8,1483228800
2017-02,36,6,1485907200
2017-03,33,6,1488326400
2017-04,40,9,1491004800
2017-05,38,5,1493596800
2017-06,35,14,1496275200
2017-07,12,5,1498867200
2017-08,4,3,1501545600
2017-09,40,6,1504224000
2017-10,32,10,1506816000
2017-11,30,8,1509494400
2017-12,12,5,1512086400
2018-01,42,8,1514764800
2018-02,72,18,1517443200
2018-03,72,20,1519862400
2018-04,125,15,1522540800
2018-05,168,15,1525132800
2018-06,59,8,1527811200
2018-07,57,14,1530403200
2018-08,77,13,1533081600
2018-09,122,12,1535760000
2018-10,77,12,1538352000
2018-11,20,4,1541030400
2018-12,27,10,1543622400
2019-01,39,14,1546300800
2019-02,20,11,1548979200
2019-03,34,7,1551398400
2019-04,55,16,1554076800
2019-05,134,5,1556668800
2019-06,66,7,1559347200
2019-07,17,5,1561939200
2019-08,3,3,1564617600
