YYYY-MM,nCommits,nAuthors,timestamp
2015-06,55,1,1433116800
2015-07,139,1,1435708800
2015-08,92,1,1438387200
2015-09,83,2,1441065600
2015-10,63,6,1443657600
2015-11,103,6,1446336000
2015-12,193,7,1448928000
2016-01,126,4,1451606400
2016-02,62,5,1454284800
2016-03,169,8,1456790400
2016-04,186,10,1459468800
2016-05,177,6,1462060800
2016-06,121,10,1464739200
2016-07,106,8,1467331200
2016-08,202,12,1470009600
2016-09,185,17,1472688000
2016-10,157,12,1475280000
2016-11,108,13,1477958400
2016-12,138,23,1480550400
2017-01,389,23,1483228800
2017-02,418,18,1485907200
2017-03,453,28,1488326400
2017-04,265,20,1491004800
2017-05,273,18,1493596800
2017-06,210,30,1496275200
2017-07,310,17,1498867200
2017-08,313,29,1501545600
2017-09,680,31,1504224000
2017-10,301,25,1506816000
2017-11,368,32,1509494400
2017-12,308,24,1512086400
2018-01,174,18,1514764800
2018-02,333,30,1517443200
2018-03,209,24,1519862400
2018-04,233,33,1522540800
2018-05,256,28,1525132800
2018-06,307,34,1527811200
2018-07,337,46,1530403200
2018-08,315,23,1533081600
2018-09,279,21,1535760000
2018-10,256,30,1538352000
2018-11,304,29,1541030400
2018-12,250,41,1543622400
2019-01,453,33,1546300800
2019-02,533,33,1548979200
2019-03,681,19,1551398400
2019-04,560,24,1554076800
2019-05,781,15,1556668800
2019-06,510,22,1559347200
2019-07,625,15,1561939200
2019-08,557,14,1564617600
2019-09,566,24,1567296000
2019-10,298,22,1569888000
2019-11,363,12,1572566400
2019-12,377,18,1575158400
2020-01,421,16,1577836800
2020-02,295,28,1580515200
2020-03,335,21,1583020800
2020-04,282,23,1585699200
2020-05,366,30,1588291200
2020-06,455,22,1590969600
2020-07,534,23,1593561600
2020-08,318,26,1596240000
2020-09,158,18,1598918400
