YYYY-MM,nCommits,nAuthors,timestamp
2014-10,10,1,1412121600
2014-11,9,1,1414800000
2014-12,3,1,1417392000
2015-01,22,2,1420070400
2015-02,107,2,1422748800
2015-03,180,5,1425168000
2015-04,76,4,1427846400
2015-05,110,4,1430438400
2015-06,53,3,1433116800
2015-07,79,3,1435708800
2015-08,21,2,1438387200
2015-09,62,4,1441065600
2015-10,129,3,1443657600
2015-11,132,6,1446336000
2015-12,57,5,1448928000
2016-01,36,3,1451606400
2016-02,54,2,1454284800
2016-03,26,1,1456790400
2016-04,31,3,1459468800
2016-05,102,5,1462060800
2016-06,52,2,1464739200
2016-07,16,1,1467331200
2016-08,60,3,1470009600
2016-09,95,3,1472688000
2016-10,115,4,1475280000
2016-11,84,4,1477958400
2016-12,127,1,1480550400
2017-01,40,2,1483228800
2017-02,31,2,1485907200
2017-03,74,5,1488326400
2017-04,27,3,1491004800
2017-05,2,2,1493596800
2017-06,23,2,1496275200
2017-07,36,3,1498867200
2017-08,72,4,1501545600
2017-09,41,1,1504224000
2017-10,32,2,1506816000
2017-11,160,1,1509494400
2017-12,164,2,1512086400
2018-01,152,2,1514764800
2018-02,234,4,1517443200
2018-03,274,3,1519862400
2018-04,164,1,1522540800
2018-05,142,4,1525132800
2018-06,146,4,1527811200
2018-07,95,5,1530403200
2018-08,54,2,1533081600
2018-09,122,2,1535760000
2018-10,118,4,1538352000
2018-11,120,2,1541030400
2018-12,38,2,1543622400
2019-01,97,7,1546300800
2019-02,97,4,1548979200
2019-03,54,4,1551398400
2019-04,22,3,1554076800
2019-05,14,3,1556668800
2019-06,7,2,1559347200
2019-07,23,3,1561939200
2019-08,4,1,1564617600
2019-09,17,2,1567296000
2019-10,13,3,1569888000
2019-11,23,3,1572566400
2019-12,23,2,1575158400
2020-02,22,3,1580515200
2020-03,8,3,1583020800
2020-04,1,1,1585699200
2020-05,9,5,1588291200
2020-06,21,5,1590969600
2020-07,17,3,1593561600
2020-08,4,1,1596240000
2020-09,4,1,1598918400
