YYYY-MM,nCommits,nAuthors,timestamp
2010-12,19,2,1291161600
2011-01,1,1,1293840000
2011-02,21,4,1296518400
2011-03,7,1,1298937600
2011-04,12,4,1301616000
2011-05,7,3,1304208000
2011-06,22,5,1306886400
2011-07,4,3,1309478400
2011-08,6,5,1312156800
2011-09,6,1,1314835200
2011-10,9,3,1317427200
2011-11,13,5,1320105600
2011-12,11,5,1322697600
2012-01,1,1,1325376000
2012-03,12,9,1330560000
2012-04,16,3,1333238400
2012-05,9,4,1335830400
2012-06,3,1,1338508800
2012-07,4,4,1341100800
2012-08,2,1,1343779200
2012-09,28,10,1346457600
2012-10,18,5,1349049600
2012-11,2,2,1351728000
2013-01,3,2,1356998400
2013-02,6,2,1359676800
2013-04,1,1,1364774400
2013-05,27,7,1367366400
2013-06,21,5,1370044800
2013-07,40,6,1372636800
2013-08,65,13,1375315200
2013-09,21,7,1377993600
2013-10,6,4,1380585600
2013-11,16,6,1383264000
2013-12,10,5,1385856000
2014-01,13,6,1388534400
2014-02,28,9,1391212800
2014-03,4,3,1393632000
2014-04,8,3,1396310400
2014-05,8,2,1398902400
2014-06,19,4,1401580800
2014-07,3,2,1404172800
2014-08,2,2,1406851200
2014-09,7,4,1409529600
2014-10,13,5,1412121600
2014-11,1,1,1414800000
2014-12,7,4,1417392000
2015-01,15,7,1420070400
2015-02,13,4,1422748800
2015-03,4,4,1425168000
2015-04,4,2,1427846400
2015-05,19,8,1430438400
2015-06,22,5,1433116800
2015-07,27,5,1435708800
2015-08,1,1,1438387200
2015-09,19,6,1441065600
2015-10,4,3,1443657600
2015-11,20,6,1446336000
2015-12,3,2,1448928000
2016-01,11,6,1451606400
2016-03,28,8,1456790400
2016-04,38,8,1459468800
2016-05,7,4,1462060800
2016-06,19,5,1464739200
2016-07,11,3,1467331200
2016-08,25,10,1470009600
2016-09,5,4,1472688000
2016-10,14,4,1475280000
2016-11,11,3,1477958400
2016-12,8,2,1480550400
2017-01,16,7,1483228800
2017-02,10,5,1485907200
2017-03,6,3,1488326400
2017-04,4,3,1491004800
2017-05,36,11,1493596800
2017-06,3,2,1496275200
2017-07,14,3,1498867200
2017-08,12,3,1501545600
2017-09,18,6,1504224000
2017-10,4,3,1506816000
2017-11,24,9,1509494400
2017-12,23,3,1512086400
2018-02,1,1,1517443200
2018-03,47,15,1519862400
2018-04,7,4,1522540800
2018-05,24,6,1525132800
2018-06,15,5,1527811200
2018-07,3,3,1530403200
2018-08,11,3,1533081600
2018-09,9,2,1535760000
2018-10,12,5,1538352000
2018-11,27,10,1541030400
2018-12,23,6,1543622400
2019-01,21,7,1546300800
2019-02,7,3,1548979200
2019-03,2,1,1551398400
2019-04,18,7,1554076800
2019-05,22,7,1556668800
2019-06,5,1,1559347200
2019-07,1,1,1561939200
2019-08,1,1,1564617600
2019-09,23,7,1567296000
2019-10,9,7,1569888000
2019-11,2,2,1572566400
2019-12,34,6,1575158400
2020-01,3,3,1577836800
2020-02,2,1,1580515200
2020-03,1,1,1583020800
2020-04,45,5,1585699200
2020-05,11,2,1588291200
2020-06,7,3,1590969600
2020-08,2,2,1596240000
