YYYY-MM,nCommits,nAuthors,timestamp
2006-09,82,4,1157068800
2006-10,148,7,1159660800
2006-11,29,4,1162339200
2006-12,52,5,1164931200
2007-01,54,8,1167609600
2007-02,44,6,1170288000
2007-03,13,6,1172707200
2007-04,21,5,1175385600
2007-05,20,5,1177977600
2007-06,13,5,1180656000
2007-07,85,10,1183248000
2007-08,8,6,1185926400
2007-09,127,9,1188604800
2007-10,58,11,1191196800
2007-11,42,7,1193875200
2007-12,35,9,1196467200
2008-01,55,7,1199145600
2008-02,49,8,1201824000
2008-03,26,5,1204329600
2008-04,48,5,1207008000
2008-05,37,9,1209600000
2008-06,57,8,1212278400
2008-07,40,7,1214870400
2008-08,49,8,1217548800
2008-09,169,6,1220227200
2008-10,39,8,1222819200
2008-11,25,3,1225497600
2008-12,61,4,1228089600
2009-01,109,8,1230768000
2009-02,165,9,1233446400
2009-03,61,7,1235865600
2009-04,125,5,1238544000
2009-05,71,7,1241136000
2009-06,93,8,1243814400
2009-07,98,6,1246406400
2009-08,111,7,1249084800
2009-09,85,8,1251763200
2009-10,174,10,1254355200
2009-11,146,10,1257033600
2009-12,91,9,1259625600
2010-01,148,10,1262304000
2010-02,191,11,1264982400
2010-03,141,9,1267401600
2010-04,221,18,1270080000
2010-05,278,10,1272672000
2010-06,388,9,1275350400
2010-07,129,9,1277942400
2010-08,271,8,1280620800
2010-09,120,8,1283299200
2010-10,167,8,1285891200
2010-11,239,8,1288569600
2010-12,276,9,1291161600
2011-01,209,7,1293840000
2011-02,188,10,1296518400
2011-03,157,5,1298937600
2011-04,163,8,1301616000
2011-05,129,8,1304208000
2011-06,302,11,1306886400
2011-07,344,8,1309478400
2011-08,434,7,1312156800
2011-09,288,10,1314835200
2011-10,328,16,1317427200
2011-11,372,15,1320105600
2011-12,278,13,1322697600
2012-01,249,9,1325376000
2012-02,205,10,1328054400
2012-03,330,13,1330560000
2012-04,167,11,1333238400
2012-05,220,15,1335830400
2012-06,545,10,1338508800
2012-07,133,13,1341100800
2012-08,331,11,1343779200
2012-09,292,20,1346457600
2012-10,457,15,1349049600
2012-11,297,18,1351728000
2012-12,360,12,1354320000
2013-01,164,13,1356998400
2013-02,812,15,1359676800
2013-03,290,13,1362096000
2013-04,339,16,1364774400
2013-05,396,13,1367366400
2013-06,275,12,1370044800
2013-07,411,13,1372636800
2013-08,202,9,1375315200
2013-09,223,15,1377993600
2013-10,182,10,1380585600
2013-11,200,13,1383264000
2013-12,336,15,1385856000
2014-01,484,19,1388534400
2014-02,525,17,1391212800
2014-03,414,17,1393632000
2014-04,447,16,1396310400
2014-05,202,10,1398902400
2014-06,455,11,1401580800
2014-07,915,11,1404172800
2014-08,572,14,1406851200
2014-09,529,11,1409529600
2014-10,694,13,1412121600
2014-11,766,13,1414800000
2014-12,876,11,1417392000
2015-01,523,13,1420070400
2015-02,994,11,1422748800
2015-03,686,14,1425168000
2015-04,699,12,1427846400
2015-05,844,14,1430438400
2015-06,1331,14,1433116800
2015-07,1371,16,1435708800
2015-08,669,14,1438387200
2015-09,752,11,1441065600
2015-10,553,14,1443657600
2015-11,693,12,1446336000
2015-12,1059,14,1448928000
2016-01,632,9,1451606400
2016-02,577,9,1454284800
2016-03,718,9,1456790400
2016-04,1433,11,1459468800
2016-05,833,14,1462060800
2016-06,538,11,1464739200
2016-07,418,11,1467331200
2016-08,513,11,1470009600
2016-09,155,8,1472688000
2016-10,252,9,1475280000
2016-11,389,9,1477958400
2016-12,432,11,1480550400
2017-01,890,11,1483228800
2017-02,774,8,1485907200
2017-03,1496,9,1488326400
2017-04,598,8,1491004800
2017-05,562,11,1493596800
2017-06,390,8,1496275200
2017-07,516,8,1498867200
2017-08,445,10,1501545600
2017-09,376,9,1504224000
2017-10,284,11,1506816000
2017-11,328,11,1509494400
2017-12,457,6,1512086400
2018-01,92,7,1514764800
2018-02,623,8,1517443200
2018-03,793,12,1519862400
2018-04,202,7,1522540800
2018-05,117,7,1525132800
2018-06,112,4,1527811200
2018-07,113,6,1530403200
2018-08,909,5,1533081600
2018-09,183,7,1535760000
2018-10,610,5,1538352000
2018-11,1195,8,1541030400
2018-12,695,5,1543622400
2019-01,491,8,1546300800
2019-02,217,10,1548979200
2019-03,39,9,1551398400
2019-04,154,6,1554076800
2019-05,108,5,1556668800
2019-06,88,4,1559347200
2019-07,118,8,1561939200
2019-08,403,8,1564617600
2019-09,106,6,1567296000
2019-10,244,7,1569888000
2019-11,139,7,1572566400
2019-12,247,6,1575158400
2020-01,157,6,1577836800
2020-02,144,4,1580515200
2020-03,186,8,1583020800
2020-04,838,11,1585699200
2020-05,344,6,1588291200
2020-06,354,10,1590969600
2020-07,990,12,1593561600
2020-08,120,7,1596240000
