YYYY-MM,nCommits,nAuthors,timestamp
2015-08,38,3,1438387200
2015-09,8,3,1441065600
2015-10,2,1,1443657600
2015-11,21,2,1446336000
2015-12,24,3,1448928000
2016-01,13,4,1451606400
2016-03,1,1,1456790400
2016-05,3,2,1462060800
2016-06,18,2,1464739200
2016-07,54,3,1467331200
2016-08,76,5,1470009600
2016-09,4,3,1472688000
2016-10,7,3,1475280000
2016-11,10,3,1477958400
2016-12,13,2,1480550400
2017-01,4,2,1483228800
2017-02,16,3,1485907200
2017-03,4,3,1488326400
2017-05,15,4,1493596800
2017-06,38,5,1496275200
2017-07,64,4,1498867200
2017-08,12,5,1501545600
2017-09,2,2,1504224000
2017-10,32,3,1506816000
2017-11,91,6,1509494400
2017-12,54,5,1512086400
2018-01,51,4,1514764800
2018-02,8,2,1517443200
2018-03,2,1,1519862400
