YYYY-MM,nCommits,nAuthors,timestamp
2016-09,13,2,1472688000
2016-10,179,7,1475280000
2016-11,255,9,1477958400
2016-12,214,5,1480550400
2017-01,164,4,1483228800
2017-02,179,4,1485907200
2017-03,158,5,1488326400
2017-04,116,8,1491004800
2017-05,71,6,1493596800
2017-06,69,4,1496275200
2017-07,1,1,1498867200
2017-08,1,1,1501545600
2017-09,15,3,1504224000
2017-10,30,6,1506816000
2017-11,21,2,1509494400
2017-12,19,2,1512086400
2018-02,3,1,1517443200
2018-03,7,2,1519862400
2018-04,1,1,1522540800
2018-05,12,5,1525132800
2018-06,42,6,1527811200
2018-07,67,6,1530403200
2018-08,26,5,1533081600
2018-09,7,4,1535760000
2018-10,6,3,1538352000
2018-11,9,5,1541030400
2018-12,8,4,1543622400
2019-01,48,6,1546300800
2019-02,37,7,1548979200
2019-03,20,6,1551398400
2019-04,20,5,1554076800
2019-05,36,5,1556668800
2019-06,16,7,1559347200
2019-07,4,4,1561939200
2019-08,4,3,1564617600
2019-09,6,3,1567296000
2019-10,10,4,1569888000
2019-11,7,3,1572566400
2019-12,1,1,1575158400
2020-01,2,2,1577836800
2020-02,1,1,1580515200
2020-03,2,1,1583020800
2020-04,1,1,1585699200
2020-05,1,1,1588291200
