YYYY-MM,nCommits,nAuthors,timestamp
2005-03,57,5,1109635200
2005-04,248,6,1112313600
2005-05,110,6,1114905600
2005-06,223,7,1117584000
2005-07,382,7,1120176000
2005-08,421,9,1122854400
2005-09,268,9,1125532800
2005-10,253,9,1128124800
2005-11,373,8,1130803200
2005-12,257,8,1133395200
2006-01,213,8,1136073600
2006-02,383,8,1138752000
2006-03,194,7,1141171200
2006-04,163,6,1143849600
2006-05,212,6,1146441600
2006-06,275,6,1149120000
2006-07,228,6,1151712000
2006-08,79,6,1154390400
2006-09,127,5,1157068800
2006-10,211,8,1159660800
2006-11,283,7,1162339200
2006-12,44,6,1164931200
2007-01,40,7,1167609600
2007-02,160,8,1170288000
2007-03,274,8,1172707200
2007-04,67,7,1175385600
2007-05,144,7,1177977600
2007-06,537,6,1180656000
2007-07,95,5,1183248000
2007-08,51,5,1185926400
2007-09,4,2,1188604800
2007-10,103,5,1191196800
2007-11,136,6,1193875200
2007-12,146,7,1196467200
2008-01,82,9,1199145600
2008-02,163,9,1201824000
2008-03,174,9,1204329600
2008-04,148,8,1207008000
2008-05,186,8,1209600000
2008-06,208,7,1212278400
2008-07,168,9,1214870400
2008-08,194,10,1217548800
2008-09,175,8,1220227200
2008-10,209,9,1222819200
2008-11,265,7,1225497600
2008-12,94,8,1228089600
2009-01,85,10,1230768000
2009-02,68,9,1233446400
2009-03,92,7,1235865600
2009-04,76,5,1238544000
2009-05,33,5,1241136000
2009-06,75,4,1243814400
2009-07,169,5,1246406400
2009-08,140,5,1249084800
2009-09,161,7,1251763200
2009-10,164,5,1254355200
2009-11,77,4,1257033600
2009-12,62,3,1259625600
2010-01,147,4,1262304000
2010-02,125,4,1264982400
2010-03,87,5,1267401600
2010-04,116,4,1270080000
2010-05,67,3,1272672000
2010-06,105,3,1275350400
2010-07,54,5,1277942400
2010-08,68,3,1280620800
2010-09,109,3,1283299200
2010-10,58,4,1285891200
2010-11,52,2,1288569600
2010-12,56,3,1291161600
2011-01,85,3,1293840000
2011-02,73,2,1296518400
2011-03,52,3,1298937600
2011-04,69,4,1301616000
2011-05,38,3,1304208000
2011-06,76,4,1306886400
2011-07,71,4,1309478400
2011-08,116,4,1312156800
2011-09,159,4,1314835200
2011-10,164,4,1317427200
2011-11,58,5,1320105600
2011-12,185,5,1322697600
2012-01,138,6,1325376000
2012-02,142,7,1328054400
2012-03,145,5,1330560000
2012-04,126,5,1333238400
2012-05,143,5,1335830400
2012-06,190,4,1338508800
2012-07,109,4,1341100800
2012-08,123,6,1343779200
2012-09,126,4,1346457600
2012-10,107,3,1349049600
2012-11,39,4,1351728000
2012-12,120,4,1354320000
2013-01,98,4,1356998400
2013-02,86,4,1359676800
2013-03,190,5,1362096000
2013-04,93,4,1364774400
2013-05,128,7,1367366400
2013-06,205,7,1370044800
2013-07,142,6,1372636800
2013-08,158,6,1375315200
2013-09,82,6,1377993600
2013-10,99,6,1380585600
2013-11,177,7,1383264000
2013-12,121,7,1385856000
2014-01,153,8,1388534400
2014-02,118,8,1391212800
2014-03,60,5,1393632000
2014-04,64,8,1396310400
2014-05,54,5,1398902400
2014-06,77,6,1401580800
2014-07,121,5,1404172800
2014-08,159,6,1406851200
2014-09,51,6,1409529600
2014-10,84,5,1412121600
2014-11,88,7,1414800000
2014-12,97,5,1417392000
2015-01,135,8,1420070400
2015-02,73,6,1422748800
2015-03,141,6,1425168000
2015-04,107,7,1427846400
2015-05,95,6,1430438400
2015-06,130,7,1433116800
2015-07,154,6,1435708800
2015-08,139,8,1438387200
2015-09,223,7,1441065600
2015-10,159,7,1443657600
2015-11,108,6,1446336000
2015-12,254,5,1448928000
2016-01,261,6,1451606400
2016-02,191,6,1454284800
2016-03,116,5,1456790400
2016-04,239,6,1459468800
2016-05,323,6,1462060800
2016-06,113,6,1464739200
2016-07,107,6,1467331200
2016-08,147,5,1470009600
2016-09,164,8,1472688000
2016-10,175,6,1475280000
2016-11,516,10,1477958400
2016-12,266,6,1480550400
2017-01,208,9,1483228800
2017-02,241,10,1485907200
2017-03,656,11,1488326400
2017-04,676,7,1491004800
2017-05,442,4,1493596800
2017-06,402,7,1496275200
2017-07,440,7,1498867200
2017-08,360,5,1501545600
2017-09,210,7,1504224000
2017-10,396,6,1506816000
2017-11,280,7,1509494400
2017-12,222,6,1512086400
2018-01,258,7,1514764800
2018-02,332,9,1517443200
2018-03,395,8,1519862400
2018-04,356,7,1522540800
2018-05,326,8,1525132800
2018-06,410,7,1527811200
2018-07,128,6,1530403200
2018-08,144,7,1533081600
2018-09,264,8,1535760000
2018-10,262,6,1538352000
2018-11,128,5,1541030400
2018-12,106,6,1543622400
2019-01,160,6,1546300800
2019-02,58,4,1548979200
2019-03,196,7,1551398400
2019-04,157,7,1554076800
2019-05,192,4,1556668800
2019-06,92,6,1559347200
2019-07,88,4,1561939200
2019-08,138,5,1564617600
2019-09,82,4,1567296000
2019-10,179,5,1569888000
2019-11,74,5,1572566400
2019-12,137,10,1575158400
2020-01,229,10,1577836800
2020-02,227,9,1580515200
2020-03,185,9,1583020800
2020-04,176,10,1585699200
2020-05,117,10,1588291200
2020-06,118,8,1590969600
2020-07,109,10,1593561600
2020-08,113,9,1596240000
2020-09,16,7,1598918400
