YYYY-MM,nCommits,nAuthors,timestamp
2016-01,33,2,1451606400
2016-02,10,1,1454284800
2016-03,12,2,1456790400
2016-04,61,1,1459468800
2016-05,18,1,1462060800
2016-06,85,1,1464739200
2016-07,52,1,1467331200
2016-08,111,1,1470009600
2016-09,52,1,1472688000
2016-10,175,2,1475280000
2016-11,118,2,1477958400
2016-12,304,6,1480550400
2017-01,329,6,1483228800
2017-02,185,5,1485907200
2017-03,107,5,1488326400
2017-04,197,8,1491004800
2017-05,82,7,1493596800
2017-06,54,4,1496275200
2017-07,138,2,1498867200
2017-08,24,3,1501545600
2017-09,57,8,1504224000
2017-10,68,5,1506816000
2017-11,165,10,1509494400
2017-12,162,9,1512086400
2018-01,265,10,1514764800
2018-02,153,6,1517443200
2018-03,219,7,1519862400
2018-04,226,9,1522540800
2018-05,254,8,1525132800
2018-06,113,6,1527811200
2018-07,180,10,1530403200
2018-08,56,7,1533081600
2018-09,69,5,1535760000
2018-10,142,10,1538352000
2018-11,220,9,1541030400
2018-12,87,4,1543622400
2019-01,269,13,1546300800
2019-02,292,13,1548979200
2019-03,283,13,1551398400
2019-04,163,11,1554076800
2019-05,292,14,1556668800
2019-06,393,28,1559347200
2019-07,199,24,1561939200
2019-08,199,22,1564617600
2019-09,121,13,1567296000
2019-10,146,21,1569888000
2019-11,182,18,1572566400
2019-12,243,17,1575158400
2020-01,317,32,1577836800
2020-02,258,20,1580515200
2020-03,314,28,1583020800
2020-04,297,34,1585699200
2020-05,277,34,1588291200
2020-06,234,28,1590969600
2020-07,257,40,1593561600
2020-08,280,46,1596240000
2020-09,83,21,1598918400
