YYYY-MM,nCommits,nAuthors,timestamp
2013-05,21,2,1367366400
2013-06,23,2,1370044800
2013-07,7,2,1372636800
2013-08,1,1,1375315200
2013-10,13,2,1380585600
2013-11,2,2,1383264000
2013-12,5,1,1385856000
2014-01,4,2,1388534400
2014-02,2,2,1391212800
2014-03,9,2,1393632000
2014-04,7,4,1396310400
2014-05,10,3,1398902400
2014-06,25,4,1401580800
2014-07,7,4,1404172800
2014-08,15,8,1406851200
2014-09,7,4,1409529600
2014-10,3,1,1412121600
2014-11,13,6,1414800000
2014-12,2,1,1417392000
2015-01,7,3,1420070400
2015-02,12,5,1422748800
2015-03,6,4,1425168000
2015-04,5,3,1427846400
2015-05,2,2,1430438400
2015-06,2,2,1433116800
2015-07,9,2,1435708800
2015-08,6,3,1438387200
2015-09,1,1,1441065600
2015-10,6,3,1443657600
2015-11,8,3,1446336000
2016-01,1,1,1451606400
2016-02,6,4,1454284800
2016-06,2,2,1464739200
2016-07,8,4,1467331200
2016-09,1,1,1472688000
2016-10,1,1,1475280000
2016-11,4,2,1477958400
2017-03,9,3,1488326400
2017-04,23,4,1491004800
2017-05,8,4,1493596800
2017-07,1,1,1498867200
2017-08,1,1,1501545600
2017-10,2,2,1506816000
2018-01,2,2,1514764800
2018-02,4,3,1517443200
2018-04,7,5,1522540800
2018-05,1,1,1525132800
2018-06,5,2,1527811200
2018-07,1,1,1530403200
2018-09,3,2,1535760000
2018-11,3,2,1541030400
2019-01,8,3,1546300800
2019-02,1,1,1548979200
2019-03,1,1,1551398400
2019-04,4,2,1554076800
2019-07,5,1,1561939200
2019-08,4,3,1564617600
2019-12,1,1,1575158400
2020-01,5,4,1577836800
2020-02,4,1,1580515200
2020-03,1,1,1583020800
2020-04,4,2,1585699200
2020-05,5,2,1588291200
2020-07,3,3,1593561600
2020-08,3,2,1596240000
