YYYY-MM,nCommits,nAuthors,timestamp
2002-01,1,1,1009843200
2007-12,1,1,1196467200
2008-02,1003,260,1201824000
2008-03,1143,254,1204329600
2008-04,1024,272,1207008000
2008-05,921,273,1209600000
2008-06,945,273,1212278400
2008-07,1011,260,1214870400
2008-08,1235,283,1217548800
2008-09,1281,276,1220227200
2008-10,962,279,1222819200
2008-11,1181,267,1225497600
2008-12,1124,249,1228089600
2009-01,1508,331,1230768000
2009-02,1262,279,1233446400
2009-03,1664,324,1235865600
2009-04,1252,282,1238544000
2009-05,1039,249,1241136000
2009-06,1253,239,1243814400
2009-07,926,214,1246406400
2009-08,1065,268,1249084800
2009-09,1105,269,1251763200
2009-10,992,233,1254355200
2009-11,1570,276,1257033600
2009-12,1105,237,1259625600
2010-01,1048,249,1262304000
2010-02,1321,245,1264982400
2010-03,1105,249,1267401600
2010-04,887,175,1270080000
2010-05,1098,248,1272672000
2010-06,766,238,1275350400
2010-07,1077,186,1277942400
2010-08,814,173,1280620800
2010-09,1075,200,1283299200
2010-10,1119,222,1285891200
2010-11,842,163,1288569600
2010-12,976,162,1291161600
2011-01,1278,241,1293840000
2011-02,1005,203,1296518400
2011-03,1247,224,1298937600
2011-04,899,193,1301616000
2011-05,1360,217,1304208000
2011-06,1647,228,1306886400
2011-07,1242,187,1309478400
2011-08,1177,197,1312156800
2011-09,1353,189,1314835200
2011-10,901,179,1317427200
2011-11,1221,190,1320105600
2011-12,1545,185,1322697600
2012-01,1389,218,1325376000
2012-02,973,203,1328054400
2012-03,1184,227,1330560000
2012-04,1111,209,1333238400
2012-05,1441,194,1335830400
2012-06,1147,169,1338508800
2012-07,1345,213,1341100800
2012-08,1491,179,1343779200
2012-09,1541,173,1346457600
2012-10,1588,217,1349049600
2012-11,1177,177,1351728000
2012-12,886,161,1354320000
2013-01,1541,208,1356998400
2013-02,991,166,1359676800
2013-03,1456,159,1362096000
2013-04,1285,160,1364774400
2013-05,1118,155,1367366400
2013-06,1104,136,1370044800
2013-07,1087,162,1372636800
2013-08,1326,182,1375315200
2013-09,548,127,1377993600
2013-10,763,167,1380585600
2013-11,884,133,1383264000
2013-12,1016,138,1385856000
2014-01,1141,149,1388534400
2014-02,1423,156,1391212800
2014-03,1548,160,1393632000
2014-04,1060,168,1396310400
2014-05,777,152,1398902400
2014-06,994,166,1401580800
2014-07,1239,158,1404172800
2014-08,1080,163,1406851200
2014-09,1327,157,1409529600
2014-10,1017,153,1412121600
2014-11,1290,154,1414800000
2014-12,1261,143,1417392000
2015-01,961,166,1420070400
2015-02,979,149,1422748800
2015-03,1338,149,1425168000
2015-04,876,140,1427846400
2015-05,1154,172,1430438400
2015-06,1144,175,1433116800
2015-07,700,112,1435708800
2015-08,1077,142,1438387200
2015-09,769,114,1441065600
2015-10,571,124,1443657600
2015-11,700,125,1446336000
2015-12,881,142,1448928000
2016-01,895,146,1451606400
2016-02,1081,150,1454284800
2016-03,1214,144,1456790400
2016-04,922,133,1459468800
2016-05,758,118,1462060800
2016-06,1072,140,1464739200
2016-07,1544,164,1467331200
2016-08,1189,126,1470009600
2016-09,1138,148,1472688000
2016-10,1157,167,1475280000
2016-11,1376,187,1477958400
2016-12,1032,152,1480550400
2017-01,881,160,1483228800
2017-02,1340,174,1485907200
2017-03,1953,211,1488326400
2017-04,1262,175,1491004800
2017-05,1231,182,1493596800
2017-06,1589,170,1496275200
2017-07,1537,213,1498867200
2017-08,1621,175,1501545600
2017-09,2020,178,1504224000
2017-10,1342,176,1506816000
2017-11,1145,184,1509494400
2017-12,1427,189,1512086400
2018-01,1440,190,1514764800
2018-02,1485,149,1517443200
2018-03,1612,172,1519862400
2018-04,1909,185,1522540800
2018-05,2197,206,1525132800
2018-06,1521,177,1527811200
2018-07,1414,172,1530403200
2018-08,1382,165,1533081600
2018-09,1379,161,1535760000
2018-10,1232,181,1538352000
2018-11,1627,211,1541030400
2018-12,1159,152,1543622400
2019-01,1582,223,1546300800
2019-02,1185,155,1548979200
2019-03,1175,148,1551398400
