YYYY-MM,nCommits,nAuthors,timestamp
2004-09,30,3,1093996800
2004-10,136,3,1096588800
2004-11,144,5,1099267200
2004-12,118,6,1101859200
2005-01,474,7,1104537600
2005-02,114,5,1107216000
2005-03,94,5,1109635200
2005-04,782,7,1112313600
2005-05,348,5,1114905600
2005-06,308,6,1117584000
2005-07,95,6,1120176000
2005-08,236,10,1122854400
2005-09,118,6,1125532800
2005-10,104,8,1128124800
2005-11,190,9,1130803200
2005-12,174,8,1133395200
2006-01,222,9,1136073600
2006-02,292,8,1138752000
2006-03,163,9,1141171200
2006-04,207,9,1143849600
2006-05,198,6,1146441600
2006-06,164,10,1149120000
2006-07,190,10,1151712000
2006-08,256,9,1154390400
2006-09,222,7,1157068800
2006-10,335,11,1159660800
2006-11,458,16,1162339200
2006-12,686,12,1164931200
2007-01,294,11,1167609600
2007-02,150,10,1170288000
2007-03,42,5,1172707200
2007-04,101,8,1175385600
2007-05,226,12,1177977600
2007-06,532,13,1180656000
2007-07,396,12,1183248000
2007-08,300,12,1185926400
2007-09,140,10,1188604800
2007-10,374,14,1191196800
2007-11,102,8,1193875200
2007-12,326,12,1196467200
2008-01,104,7,1199145600
2008-02,366,7,1201824000
2008-03,94,4,1204329600
2008-04,26,3,1207008000
2008-05,83,8,1209600000
2008-06,206,7,1212278400
2008-07,346,8,1214870400
2008-08,635,9,1217548800
2008-09,1357,9,1220227200
2008-10,415,11,1222819200
2008-11,1344,9,1225497600
2008-12,433,9,1228089600
2009-01,139,8,1230768000
2009-02,1105,12,1233446400
2009-03,677,8,1235865600
2009-04,228,11,1238544000
2009-05,388,10,1241136000
2009-06,2455,21,1243814400
2009-07,609,7,1246406400
2009-08,472,12,1249084800
2009-09,374,9,1251763200
2009-10,998,13,1254355200
2009-11,628,13,1257033600
2009-12,446,13,1259625600
2010-01,589,16,1262304000
2010-02,561,17,1264982400
2010-03,993,20,1267401600
2010-04,779,23,1270080000
2010-05,447,19,1272672000
2010-06,675,21,1275350400
2010-07,983,28,1277942400
2010-08,1180,24,1280620800
2010-09,1186,24,1283299200
2010-10,690,18,1285891200
2010-11,566,19,1288569600
2010-12,574,22,1291161600
2011-01,408,20,1293840000
2011-02,330,18,1296518400
2011-03,446,17,1298937600
2011-04,378,14,1301616000
2011-05,456,15,1304208000
2011-06,281,12,1306886400
2011-07,198,13,1309478400
2011-08,181,10,1312156800
2011-09,147,10,1314835200
2011-10,106,9,1317427200
2011-11,63,8,1320105600
2011-12,70,8,1322697600
2012-01,114,7,1325376000
2012-02,65,7,1328054400
2012-03,59,7,1330560000
2012-04,29,8,1333238400
2012-05,59,7,1335830400
2012-06,141,7,1338508800
2012-07,227,7,1341100800
2012-08,180,5,1343779200
2012-09,192,5,1346457600
2012-10,63,4,1349049600
2012-11,15,4,1351728000
2012-12,13,2,1354320000
2013-01,60,6,1356998400
2013-02,110,8,1359676800
2013-03,201,6,1362096000
2013-04,87,4,1364774400
2013-05,148,5,1367366400
2013-06,101,8,1370044800
2013-07,111,8,1372636800
2013-08,260,10,1375315200
2013-09,195,9,1377993600
2013-10,121,9,1380585600
2013-11,138,6,1383264000
2013-12,177,5,1385856000
2014-01,157,9,1388534400
2014-02,112,6,1391212800
2014-03,105,8,1393632000
2014-04,57,9,1396310400
2014-05,86,9,1398902400
2014-06,118,9,1401580800
2014-07,98,9,1404172800
2014-08,100,7,1406851200
2014-09,176,10,1409529600
2014-10,167,8,1412121600
2014-11,103,10,1414800000
2014-12,97,8,1417392000
2015-01,167,7,1420070400
2015-02,98,10,1422748800
2015-03,104,8,1425168000
2015-04,118,8,1427846400
2015-05,65,6,1430438400
2015-06,88,8,1433116800
2015-07,29,3,1435708800
2015-08,56,5,1438387200
2015-09,77,7,1441065600
2015-10,58,7,1443657600
2015-11,28,6,1446336000
2015-12,40,6,1448928000
2016-01,3,2,1451606400
2016-02,10,3,1454284800
2016-03,38,3,1456790400
2016-04,20,4,1459468800
2016-05,22,4,1462060800
2016-06,40,5,1464739200
2016-07,3,1,1467331200
2016-09,12,3,1472688000
2016-10,134,9,1475280000
2016-11,47,8,1477958400
2016-12,13,3,1480550400
2017-01,4,3,1483228800
2017-06,10,2,1496275200
2017-07,4,1,1498867200
2017-09,3,2,1504224000
2018-01,21,1,1514764800
2018-02,8,1,1517443200
2018-03,1,1,1519862400
2018-04,10,2,1522540800
2018-07,2,1,1530403200
2018-08,2,2,1533081600
2018-10,3,3,1538352000
2018-11,1,1,1541030400
2019-01,13,2,1546300800
2019-02,3,1,1548979200
2019-03,3,3,1551398400
2019-07,1,1,1561939200
2020-02,3,1,1580515200
2020-04,1,1,1585699200
2020-05,1,1,1588291200
