YYYY-MM,nCommits,nAuthors,timestamp
1989-12,1,1,628473600
1998-08,108,2,901929600
1998-09,31,2,904608000
1998-10,25,2,907200000
1998-11,41,1,909878400
1998-12,53,1,912470400
1999-01,32,2,915148800
1999-02,30,1,917827200
1999-03,17,1,920246400
1999-04,2,1,922924800
1999-05,42,1,925516800
1999-06,40,1,928195200
1999-07,46,1,930787200
1999-08,72,1,933465600
1999-09,16,1,936144000
1999-10,3,1,938736000
1999-11,46,1,941414400
1999-12,48,3,944006400
2000-01,76,2,946684800
2000-02,48,2,949363200
2000-03,37,3,951868800
2000-04,33,3,954547200
2000-05,51,3,957139200
2000-06,24,2,959817600
2000-07,56,3,962409600
2000-08,72,3,965088000
2000-09,37,3,967766400
2000-10,53,3,970358400
2000-11,21,2,973036800
2000-12,48,3,975628800
2001-01,67,3,978307200
2001-02,41,3,980985600
2001-03,45,3,983404800
2001-04,17,2,986083200
2001-05,25,2,988675200
2001-06,14,2,991353600
2001-07,24,2,993945600
2001-08,25,2,996624000
2001-09,25,2,999302400
2001-10,19,2,1001894400
2001-11,28,2,1004572800
2001-12,75,2,1007164800
2002-01,117,2,1009843200
2002-02,194,2,1012521600
2002-03,90,2,1014940800
2002-04,105,2,1017619200
2002-05,117,2,1020211200
2002-06,58,2,1022889600
2002-07,86,2,1025481600
2002-08,127,3,1028160000
2002-09,108,2,1030838400
2002-10,140,2,1033430400
2002-11,93,2,1036108800
2002-12,120,2,1038700800
2003-01,147,2,1041379200
2003-02,158,2,1044057600
2003-03,128,2,1046476800
2003-04,139,3,1049155200
2003-05,166,2,1051747200
2003-06,68,2,1054425600
2003-07,102,2,1057017600
2003-08,45,2,1059696000
2003-09,71,2,1062374400
2003-10,90,2,1064966400
2003-11,78,2,1067644800
2003-12,51,2,1070236800
2004-01,123,2,1072915200
2004-02,115,2,1075593600
2004-03,184,3,1078099200
2004-04,76,3,1080777600
2004-05,93,4,1083369600
2004-06,61,9,1086048000
2004-07,118,17,1088640000
2004-08,93,14,1091318400
2004-09,89,19,1093996800
2004-10,66,14,1096588800
2004-11,84,20,1099267200
2004-12,86,17,1101859200
2005-01,151,21,1104537600
2005-02,95,21,1107216000
2005-03,138,26,1109635200
2005-04,85,18,1112313600
2005-05,131,19,1114905600
2005-06,81,8,1117584000
2005-07,66,15,1120176000
2005-08,104,16,1122854400
2005-09,125,20,1125532800
2005-10,101,20,1128124800
2005-11,311,17,1130803200
2005-12,58,12,1133395200
2006-01,147,16,1136073600
2006-02,50,11,1138752000
2006-03,99,16,1141171200
2006-04,165,26,1143849600
2006-05,55,15,1146441600
2006-06,96,19,1149120000
2006-07,93,18,1151712000
2006-08,126,21,1154390400
2006-09,62,17,1157068800
2006-10,160,33,1159660800
2006-11,86,18,1162339200
2006-12,71,23,1164931200
2007-01,60,22,1167609600
2007-02,95,17,1170288000
2007-03,66,20,1172707200
2007-04,52,13,1175385600
2007-05,95,27,1177977600
2007-06,72,19,1180656000
2007-07,137,34,1183248000
2007-08,115,19,1185926400
2007-09,132,25,1188604800
2007-10,88,24,1191196800
2007-11,109,30,1193875200
2007-12,74,23,1196467200
2008-01,207,37,1199145600
2008-02,159,31,1201824000
2008-03,83,22,1204329600
2008-04,139,26,1207008000
2008-05,127,30,1209600000
2008-06,118,30,1212278400
2008-07,157,39,1214870400
2008-08,164,43,1217548800
2008-09,159,34,1220227200
2008-10,149,39,1222819200
2008-11,264,52,1225497600
2008-12,163,26,1228089600
2009-01,208,52,1230768000
2009-02,224,47,1233446400
2009-03,176,36,1235865600
2009-04,200,47,1238544000
2009-05,153,42,1241136000
2009-06,201,48,1243814400
2009-07,215,45,1246406400
2009-08,173,34,1249084800
2009-09,130,38,1251763200
2009-10,160,44,1254355200
2009-11,168,44,1257033600
2009-12,187,46,1259625600
2010-01,129,32,1262304000
2010-02,148,46,1264982400
2010-03,223,55,1267401600
2010-04,124,33,1270080000
2010-05,162,45,1272672000
2010-06,87,32,1275350400
2010-07,139,30,1277942400
2010-08,179,49,1280620800
2010-09,181,41,1283299200
2010-10,131,40,1285891200
2010-11,200,42,1288569600
2010-12,201,36,1291161600
2011-01,230,48,1293840000
2011-02,186,39,1296518400
2011-03,197,48,1298937600
2011-04,178,37,1301616000
2011-05,236,46,1304208000
2011-06,248,46,1306886400
2011-07,190,39,1309478400
2011-08,234,42,1312156800
2011-09,205,31,1314835200
2011-10,264,32,1317427200
2011-11,292,40,1320105600
2011-12,334,35,1322697600
2012-01,190,36,1325376000
2012-02,260,38,1328054400
2012-03,171,48,1330560000
2012-04,179,40,1333238400
2012-05,161,31,1335830400
2012-06,176,48,1338508800
2012-07,149,36,1341100800
2012-08,223,43,1343779200
2012-09,3207,43,1346457600
2012-10,164,46,1349049600
2012-11,202,40,1351728000
2012-12,96,15,1354320000
2013-01,17,2,1356998400
