YYYY-MM,nCommits,nAuthors,timestamp
2007-08,12,2,1185926400
2007-09,99,4,1188604800
2007-10,112,4,1191196800
2007-11,158,5,1193875200
2007-12,177,6,1196467200
2008-01,118,5,1199145600
2008-02,147,6,1201824000
2008-03,104,5,1204329600
2008-04,142,5,1207008000
2008-05,154,5,1209600000
2008-06,136,7,1212278400
2008-07,147,8,1214870400
2008-08,313,7,1217548800
2008-09,221,7,1220227200
2008-10,131,7,1222819200
2008-11,199,8,1225497600
2008-12,244,7,1228089600
2009-01,160,6,1230768000
2009-02,132,5,1233446400
2009-03,88,7,1235865600
2009-04,79,8,1238544000
2009-05,112,9,1241136000
2009-06,156,7,1243814400
2009-07,235,7,1246406400
2009-08,102,5,1249084800
2009-09,79,4,1251763200
2009-10,115,5,1254355200
2009-11,138,7,1257033600
2009-12,76,7,1259625600
2010-01,95,7,1262304000
2010-02,277,9,1264982400
2010-03,249,7,1267401600
2010-04,135,6,1270080000
2010-05,132,5,1272672000
2010-06,88,5,1275350400
2010-07,139,6,1277942400
2010-08,159,5,1280620800
2010-09,174,4,1283299200
2010-10,103,5,1285891200
2010-11,74,3,1288569600
2010-12,57,4,1291161600
2011-01,97,6,1293840000
2011-02,157,5,1296518400
2011-03,113,4,1298937600
2011-04,95,6,1301616000
2011-05,59,5,1304208000
2011-06,58,5,1306886400
2011-07,39,5,1309478400
2011-08,50,4,1312156800
2011-09,83,5,1314835200
2011-10,76,5,1317427200
2011-11,55,5,1320105600
2011-12,103,5,1322697600
2012-01,31,5,1325376000
2012-02,44,3,1328054400
2012-03,22,5,1330560000
2012-04,70,5,1333238400
2012-05,70,4,1335830400
2012-06,54,4,1338508800
2012-07,46,4,1341100800
2012-08,47,6,1343779200
2012-09,45,6,1346457600
2012-10,33,6,1349049600
2012-11,19,4,1351728000
2012-12,20,2,1354320000
2013-01,26,3,1356998400
2013-02,53,3,1359676800
2013-03,9,2,1362096000
2013-04,42,5,1364774400
2013-05,78,9,1367366400
2013-06,237,8,1370044800
2013-07,147,13,1372636800
2013-08,141,9,1375315200
2013-09,113,8,1377993600
2013-10,54,7,1380585600
2013-11,79,7,1383264000
2013-12,48,4,1385856000
2014-01,42,4,1388534400
2014-02,79,6,1391212800
2014-03,15,3,1393632000
2014-04,58,4,1396310400
2014-05,66,8,1398902400
2014-06,54,9,1401580800
2014-07,62,4,1404172800
2014-08,84,11,1406851200
2014-09,108,9,1409529600
2014-10,65,10,1412121600
2014-11,24,6,1414800000
2014-12,50,5,1417392000
2015-01,39,8,1420070400
2015-02,61,8,1422748800
2015-03,110,8,1425168000
2015-04,68,6,1427846400
2015-05,122,9,1430438400
2015-06,118,13,1433116800
2015-07,88,11,1435708800
2015-08,146,8,1438387200
2015-09,129,10,1441065600
2015-10,79,10,1443657600
2015-11,176,13,1446336000
2015-12,118,9,1448928000
2016-01,170,11,1451606400
2016-02,185,12,1454284800
2016-03,87,11,1456790400
2016-04,84,10,1459468800
2016-05,109,13,1462060800
2016-06,103,16,1464739200
2016-07,84,11,1467331200
2016-08,82,10,1470009600
2016-09,74,7,1472688000
2016-10,103,5,1475280000
2016-11,81,10,1477958400
2016-12,60,5,1480550400
2017-01,59,7,1483228800
2017-02,67,9,1485907200
2017-03,129,9,1488326400
2017-04,78,17,1491004800
2017-05,91,8,1493596800
2017-06,66,12,1496275200
2017-07,128,12,1498867200
2017-08,173,8,1501545600
2017-09,56,7,1504224000
2017-10,62,7,1506816000
2017-11,68,9,1509494400
2017-12,55,8,1512086400
2018-01,15,6,1514764800
2018-02,35,8,1517443200
2018-03,118,12,1519862400
2018-04,45,9,1522540800
2018-05,87,9,1525132800
2018-06,46,7,1527811200
2018-07,77,5,1530403200
2018-08,142,10,1533081600
2018-09,75,11,1535760000
2018-10,113,12,1538352000
2018-11,110,8,1541030400
2018-12,45,9,1543622400
2019-01,49,8,1546300800
2019-02,79,9,1548979200
2019-03,105,10,1551398400
2019-04,86,9,1554076800
2019-05,96,7,1556668800
2019-06,50,8,1559347200
