YYYY-MM,nCommits,nAuthors,timestamp
2012-05,104,7,1335830400
2012-06,233,7,1338508800
2012-07,144,5,1341100800
2012-08,122,4,1343779200
2012-09,48,4,1346457600
2012-10,47,2,1349049600
2012-11,60,2,1351728000
2012-12,101,2,1354320000
2013-01,26,1,1356998400
2013-02,4,1,1359676800
2013-03,4,1,1362096000
2013-04,1,1,1364774400
2013-05,2,1,1367366400
2013-07,5,2,1372636800
2013-08,2,1,1375315200
2013-09,4,1,1377993600
2013-10,14,2,1380585600
2013-11,4,2,1383264000
2013-12,1,1,1385856000
2014-01,3,2,1388534400
2014-02,2,2,1391212800
2014-03,3,1,1393632000
2014-04,4,1,1396310400
2014-05,5,2,1398902400
2014-06,5,1,1401580800
2014-07,1,1,1404172800
2014-08,11,1,1406851200
2014-09,107,4,1409529600
2014-10,65,3,1412121600
2014-11,83,4,1414800000
2014-12,4,1,1417392000
2015-01,1,1,1420070400
2015-02,48,1,1422748800
2015-03,15,1,1425168000
2015-04,3,1,1427846400
2015-05,6,1,1430438400
2015-09,75,4,1441065600
2015-10,114,6,1443657600
2015-11,107,5,1446336000
2015-12,112,7,1448928000
2016-01,16,2,1451606400
2016-02,130,6,1454284800
2016-03,170,7,1456790400
2016-04,230,9,1459468800
2016-05,123,9,1462060800
