YYYY-MM,nCommits,nAuthors,timestamp
2002-06,15,2,1022889600
2002-07,90,9,1025481600
2002-08,228,11,1028160000
2002-09,126,6,1030838400
2002-10,12,3,1033430400
2002-12,16,5,1038700800
2003-01,54,5,1041379200
2003-02,118,12,1044057600
2003-03,60,8,1046476800
2003-04,22,4,1049155200
2003-05,4,2,1051747200
2003-06,14,1,1054425600
2003-07,74,4,1057017600
2003-08,88,7,1059696000
2003-09,84,9,1062374400
2003-10,14,2,1064966400
2003-11,22,5,1067644800
2003-12,46,5,1070236800
2004-01,16,4,1072915200
2004-02,92,6,1075593600
2004-03,240,12,1078099200
2004-04,28,5,1080777600
2004-06,4,1,1086048000
2004-07,46,4,1088640000
2004-08,58,5,1091318400
2004-09,100,7,1093996800
2004-10,62,6,1096588800
2004-11,28,5,1099267200
2004-12,12,4,1101859200
2005-01,66,3,1104537600
2005-02,131,6,1107216000
2005-03,77,6,1109635200
2005-04,22,4,1112313600
2005-05,18,2,1114905600
2005-06,4,2,1117584000
2005-07,57,4,1120176000
2005-08,78,5,1122854400
2005-09,30,3,1125532800
2005-10,24,1,1128124800
2005-11,27,5,1130803200
2005-12,28,7,1133395200
2006-01,74,9,1136073600
2006-02,103,7,1138752000
2006-03,258,8,1141171200
2006-04,162,12,1143849600
2006-05,105,7,1146441600
2006-06,87,7,1149120000
2006-07,61,4,1151712000
2006-08,53,3,1154390400
2006-09,90,6,1157068800
2006-10,85,4,1159660800
2006-11,62,2,1162339200
2006-12,32,3,1164931200
2007-01,66,4,1167609600
2007-02,62,2,1170288000
2007-03,53,3,1172707200
2007-04,36,1,1175385600
2007-05,31,4,1177977600
2007-06,61,4,1180656000
2007-07,66,5,1183248000
2007-08,36,4,1185926400
2007-09,36,4,1188604800
2007-10,25,5,1191196800
2007-11,31,2,1193875200
2007-12,44,4,1196467200
2008-01,71,7,1199145600
2008-02,81,6,1201824000
2008-03,87,5,1204329600
2008-04,156,6,1207008000
2008-05,56,8,1209600000
2008-06,42,4,1212278400
2008-07,60,3,1214870400
2008-08,61,5,1217548800
2008-09,96,5,1220227200
2008-10,104,4,1222819200
2008-11,90,7,1225497600
2008-12,75,2,1228089600
2009-01,50,3,1230768000
2009-02,37,4,1233446400
2009-03,25,3,1235865600
2009-04,24,4,1238544000
2009-05,15,4,1241136000
2009-06,29,6,1243814400
2009-07,10,5,1246406400
2009-08,14,4,1249084800
2009-09,51,4,1251763200
2009-10,13,3,1254355200
2009-11,32,5,1257033600
2009-12,20,4,1259625600
2010-01,15,5,1262304000
2010-02,22,3,1264982400
2010-03,31,5,1267401600
2010-04,17,3,1270080000
2010-05,4,1,1272672000
2010-06,6,2,1275350400
2010-08,4,2,1280620800
2010-09,8,2,1283299200
2010-11,4,1,1288569600
2010-12,1,1,1291161600
2011-01,31,3,1293840000
2011-02,12,4,1296518400
2011-03,8,2,1298937600
2011-04,6,1,1301616000
2011-05,8,3,1304208000
2011-06,23,4,1306886400
2011-07,14,4,1309478400
2011-08,31,5,1312156800
2011-09,17,4,1314835200
2011-10,27,7,1317427200
2011-11,11,3,1320105600
2011-12,3,1,1322697600
2012-01,17,2,1325376000
2012-02,10,4,1328054400
2012-03,6,1,1330560000
2012-04,6,2,1333238400
2012-06,22,6,1338508800
2012-07,3,2,1341100800
2012-10,15,1,1349049600
2012-11,7,3,1351728000
2012-12,16,2,1354320000
2013-01,34,6,1356998400
2013-02,12,2,1359676800
2013-03,17,4,1362096000
2013-04,17,4,1364774400
2013-05,48,3,1367366400
2013-06,22,8,1370044800
2013-07,20,5,1372636800
2013-08,37,7,1375315200
2013-09,38,2,1377993600
2013-10,81,8,1380585600
2013-11,76,10,1383264000
2013-12,64,5,1385856000
2014-01,80,8,1388534400
2014-02,87,10,1391212800
2014-03,52,8,1393632000
2014-04,74,10,1396310400
2014-05,42,11,1398902400
2014-06,30,3,1401580800
2014-07,30,9,1404172800
2014-08,29,6,1406851200
2014-09,6,5,1409529600
2014-10,16,3,1412121600
2014-11,29,5,1414800000
2014-12,28,5,1417392000
2015-01,113,9,1420070400
2015-02,33,8,1422748800
2015-03,13,3,1425168000
2015-04,41,7,1427846400
2015-05,12,4,1430438400
2015-06,27,4,1433116800
2015-07,22,10,1435708800
2015-08,34,6,1438387200
2015-09,14,7,1441065600
2015-10,25,5,1443657600
2015-11,26,5,1446336000
2015-12,15,6,1448928000
2016-01,2,1,1451606400
2016-02,31,9,1454284800
2016-03,111,10,1456790400
2016-04,60,8,1459468800
2016-05,94,13,1462060800
2016-06,56,9,1464739200
2016-07,78,7,1467331200
2016-08,144,13,1470009600
2016-09,40,7,1472688000
2016-10,39,8,1475280000
2016-11,49,6,1477958400
2016-12,81,9,1480550400
2017-01,148,10,1483228800
2017-02,129,11,1485907200
2017-03,98,11,1488326400
2017-04,51,10,1491004800
2017-05,41,6,1493596800
2017-06,52,12,1496275200
2017-07,45,6,1498867200
2017-08,49,8,1501545600
2017-09,72,9,1504224000
2017-10,39,9,1506816000
2017-11,21,10,1509494400
2017-12,48,8,1512086400
2018-01,43,12,1514764800
2018-02,43,9,1517443200
2018-03,53,12,1519862400
2018-04,74,8,1522540800
2018-05,75,10,1525132800
2018-06,21,7,1527811200
2018-07,10,4,1530403200
2018-08,37,9,1533081600
2018-09,43,6,1535760000
2018-10,22,5,1538352000
2018-11,54,9,1541030400
2018-12,20,6,1543622400
2019-01,14,1,1546300800
2019-02,13,4,1548979200
2019-03,48,10,1551398400
2019-04,16,5,1554076800
2019-05,17,6,1556668800
2019-06,22,5,1559347200
2019-07,7,3,1561939200
2019-08,14,5,1564617600
2019-09,24,3,1567296000
2019-10,21,5,1569888000
2019-11,42,7,1572566400
2020-01,23,6,1577836800
2020-02,24,4,1580515200
2020-03,27,6,1583020800
2020-04,16,5,1585699200
2020-05,17,4,1588291200
2020-06,49,9,1590969600
2020-07,49,7,1593561600
2020-08,16,5,1596240000
2020-09,3,2,1598918400
